dataset,stage,model,setting,stage_windows,stable_evaluation_windows,stage_stable_rate,stage_transition_rate,dominant_detected_state,stage_purity,detected_state_count,state_switch_count,false_switches_per_1000_windows,buffer_actual_cycles
Exp2,4,Ridge,within_Exp2,600,540,0.28888888888888886,0.6814814814814815,6,0.8962962962962963,2,4,7.407407407407407,250.0
Exp2,5,Ridge,within_Exp2,478,448,0.8258928571428571,0.11830357142857142,3,1.0,1,7,15.625,250.0
Exp2,1,TCN,Exp1_pretrain_to_Exp2,599,569,0.4973637961335677,0.38312829525483305,2,0.7082601054481547,2,24,42.1792618629174,250.0
Exp2,2,TCN,Exp1_pretrain_to_Exp2,600,540,0.28888888888888886,0.6111111111111112,3,0.7796296296296297,3,12,22.22222222222222,250.0
Exp2,3,TCN,Exp1_pretrain_to_Exp2,540,480,0.2625,0.6458333333333334,5,0.3770833333333333,3,13,27.083333333333332,250.0
Exp2,4,TCN,Exp1_pretrain_to_Exp2,600,540,0.28888888888888886,0.6814814814814815,6,0.8962962962962963,2,4,7.407407407407407,250.0
Exp2,5,TCN,Exp1_pretrain_to_Exp2,478,448,0.8236607142857143,0.11830357142857142,3,1.0,1,7,15.625,250.0
Exp1,1,TCN,within_Exp1,1513,1466,1.0,0.0,1,1.0,1,0,0.0,250.0
Exp1,2,TCN,within_Exp1,2710,2625,0.9264761904761905,0.05904761904761905,2,0.984,2,9,3.4285714285714284,250.0
Exp1,3,TCN,within_Exp1,1343,1259,0.9269261318506752,0.05559968228752978,2,1.0,1,5,3.971405877680699,250.0
Exp1,4,TCN,within_Exp1,1352,1267,0.9250197316495659,0.06550907655880031,2,1.0,1,7,5.524861878453039,250.0
Exp1,5,TCN,within_Exp1,2197,2154,0.9066852367688022,0.07010213556174559,3,0.6160631383472609,3,14,6.499535747446611,250.0
Exp2,1,TCN,within_Exp2,599,569,0.4973637961335677,0.38312829525483305,2,0.7082601054481547,2,24,42.1792618629174,250.0
Exp2,2,TCN,within_Exp2,600,540,0.29259259259259257,0.6074074074074074,3,0.7759259259259259,3,12,22.22222222222222,250.0
Exp2,3,TCN,within_Exp2,540,480,0.275,0.6333333333333333,5,0.38958333333333334,3,13,27.083333333333332,250.0
Exp2,4,TCN,within_Exp2,600,540,0.28888888888888886,0.6814814814814815,6,0.8962962962962963,2,4,7.407407407407407,250.0
