protocol_id,dataset,window_id,window_index,start_cycle_effective,end_cycle_effective,center_cycle_effective,start_cycle_actual,end_cycle_actual,center_cycle_actual,cycle_effective,cycle_actual,effective_configuration_count,directed_configuration_support,rate_divergence_configuration_support,abrupt_configuration_support,combined_change_score_q50,change_configuration_support,guard_configuration_fraction,stop_boundary_configuration_fraction,change_trigger
A_Exp1_to_Exp2,Exp2,248,248,1241.0,1260.0,1250.5,2564.5019973368844,2596.12017310253,2580.311085219707,1250.5,2580.311085219707,16,0.0,1.0,0.0,16.185156269488466,1.0,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,249,249,1246.0,1265.0,1255.5,2572.822569906791,2604.4407456724366,2588.631657789614,1255.5,2588.631657789614,16,0.0,1.0,0.0,16.085906659388016,1.0,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,250,250,1251.0,1270.0,1260.5,2581.143142476698,2612.761318242344,2596.952230359521,1260.5,2596.952230359521,16,0.0,1.0,0.0,18.267201681488974,1.0,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,251,251,1256.0,1275.0,1265.5,2589.4637150466046,2621.0818908122505,2605.2728029294276,1265.5,2605.2728029294276,16,0.0,1.0,0.0,19.199313033347952,1.0,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,252,252,1261.0,1280.0,1270.5,2597.7842876165114,2629.4024633821573,2613.5933754993343,1270.5,2613.5933754993343,16,0.0,1.0,0.0,17.324726931968627,1.0,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,253,253,1266.0,1285.0,1275.5,2606.104860186418,2637.723035952064,2621.913948069241,1275.5,2621.913948069241,16,0.0,1.0,0.4375,14.22215171508837,1.0,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,254,254,1271.0,1290.0,1280.5,2614.425432756325,2646.043608521971,2630.234520639148,1280.5,2630.234520639148,16,0.0,0.875,0.4375,12.084497498725476,0.875,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,255,255,1276.0,1295.0,1285.5,2622.7460053262316,2654.3641810918775,2638.5550932090546,1285.5,2638.5550932090546,16,0.0,0.75,0.4375,10.205938816060936,0.75,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,256,256,1281.0,1300.0,1290.5,2631.0665778961384,2662.6847536617843,2646.8756657789613,1290.5,2646.8756657789613,16,0.0,0.6875,0.375,8.0512209092094,0.6875,0.0,0.0,1
A_Exp1_to_Exp2,Exp2,257,257,1286.0,1305.0,1295.5,2639.387150466045,2671.005326231691,2655.196238348868,1295.5,2655.196238348868,16,0.0,0.3125,0.375,5.012356293337973,0.375,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,258,258,1291.0,1310.0,1300.5,2647.707723035952,2679.3258988015978,2663.516810918775,1300.5,2663.516810918775,16,0.0,0.25,0.3125,2.646764227085264,0.3125,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,259,259,1296.0,1315.0,1305.5,2656.028295605859,2687.6464713715045,2671.8373834886816,1305.5,2671.8373834886816,16,0.0,0.0,0.3125,1.1259397435470597,0.3125,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,260,260,1301.0,1320.0,1310.5,2664.348868175766,2695.9670439414112,2680.1579560585888,1310.5,2680.1579560585888,16,0.0,0.0,0.3125,1.8708096523012507,0.3125,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,261,261,1306.0,1325.0,1315.5,2672.6694407456725,2704.2876165113184,2688.4785286284955,1315.5,2688.4785286284955,16,0.0,0.0,0.3125,1.3884892602529941,0.3125,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,262,262,1311.0,1330.0,1320.5,2680.9900133155793,2712.608189081225,2696.7991011984022,1320.5,2696.7991011984022,16,0.0,0.0,0.25,1.271476775453435,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,263,263,1316.0,1335.0,1325.5,2689.310585885486,2720.928761651132,2705.119673768309,1325.5,2705.119673768309,16,0.0,0.125,0.1875,1.354703848059688,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,264,264,1321.0,1340.0,1330.5,2697.631158455393,2729.2493342210387,2713.4402463382157,1330.5,2713.4402463382157,16,0.0,0.0625,0.1875,1.1007225421931581,0.1875,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,265,265,1326.0,1345.0,1335.5,2705.9517310252995,2737.5699067909454,2721.7608189081225,1335.5,2721.7608189081225,16,0.0,0.0625,0.125,1.0892227511642734,0.125,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,266,266,1331.0,1350.0,1340.5,2714.2723035952063,2745.890479360852,2730.081391478029,1340.5,2730.081391478029,16,0.0,0.0,0.25,0.8255591329354173,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,267,267,1336.0,1355.0,1345.5,2722.592876165113,2754.211051930759,2738.401964047936,1345.5,2738.401964047936,16,0.0,0.0,0.3125,0.7862590183384184,0.3125,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,268,268,1341.0,1360.0,1350.5,2730.9134487350198,2762.5316245006657,2746.7225366178427,1350.5,2746.7225366178427,16,0.0,0.0,0.25,0.7759350594361548,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,269,269,1346.0,1365.0,1355.5,2739.2340213049265,2770.8521970705724,2755.0431091877495,1355.5,2755.0431091877495,16,0.0,0.0,0.25,0.7383462541903212,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,270,270,1351.0,1370.0,1360.5,2747.5545938748337,2779.172769640479,2763.363681757656,1360.5,2763.363681757656,16,0.0,0.0,0.25,0.715888435892889,0.25,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,271,271,1356.0,1375.0,1365.5,2755.8751664447404,2787.493342210386,2771.6842543275634,1365.5,2771.6842543275634,16,0.0,0.0,0.1875,0.6944737813137749,0.1875,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,272,272,1361.0,1380.0,1370.5,2764.195739014647,2795.813914780293,2780.00482689747,1370.5,2780.00482689747,16,0.0,0.0,0.1875,0.6673162767738818,0.1875,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,273,273,1366.0,1385.0,1375.5,2772.516311584554,2804.1344873502,2788.325399467377,1375.5,2788.325399467377,16,0.0,0.0,0.125,0.6740632693158597,0.125,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,274,274,1371.0,1390.0,1380.5,2780.8368841544607,2812.4550599201066,2796.6459720372836,1380.5,2796.6459720372836,16,0.0,0.0,0.0,0.7716673352153579,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,275,275,1376.0,1395.0,1385.5,2789.1574567243674,2820.7756324900133,2804.9665446071904,1385.5,2804.9665446071904,16,0.0,0.0,0.0,0.7972876207381058,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,276,276,1381.0,1400.0,1390.5,2797.478029294274,2829.09620505992,2813.287117177097,1390.5,2813.287117177097,16,0.0,0.0,0.0,1.1287676243090963,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,277,277,1386.0,1405.0,1395.5,2805.7986018641814,2837.416777629827,2821.6076897470043,1395.5,2821.6076897470043,16,0.0,0.0,0.0,1.368086723426601,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,278,278,1391.0,1410.0,1400.5,2814.119174434088,2845.737350199734,2829.928262316911,1400.5,2829.928262316911,16,0.0,0.0,0.0,1.3584937326905395,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,279,279,1396.0,1415.0,1405.5,2822.4397470039944,2854.0579227696408,2838.248834886818,1405.5,2838.248834886818,16,0.0,0.0625,0.0,1.3667335786859072,0.0625,0.0,0.0,0
