protocol_id,dataset,window_index,center_cycle_effective,center_cycle_actual,V100_norm_q50_effective_time,V500_norm_q50_effective_time,V1000_norm_q50_effective_time,multi_scale_rate_divergence_q50_effective_time,change_configuration_support_effective_time,change_trigger_effective_time,V100_norm_q50_actual_time,V500_norm_q50_actual_time,V1000_norm_q50_actual_time,multi_scale_rate_divergence_q50_actual_time,change_configuration_support_actual_time,change_trigger_actual_time,row_type,metric,spearman,median_absolute_difference,agreement
B_Exp2_to_Exp1,Exp1,8783.0,43925.5,51031.073703366696,0.3147725225949558,0.07260676298149356,0.045428114072228444,0.2867094498622032,0.0,0.0,0.31136832988173574,0.0698391633438606,0.03744932146037463,0.2804069732801615,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8784.0,43930.5,51036.9881710646,1.1208984327231666,0.2326491625633812,0.1191571348724457,1.0063124358300073,0.25,0.0,1.0731295276286796,0.2098162716059653,0.10960304944952583,0.9701722027262293,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8785.0,43935.5,51042.90263876251,0.8071693425640382,0.17436181686886512,0.09517769719938679,0.7454321293320911,0.0,0.0,0.7939595820110524,0.15582471102780154,0.08573673717921643,0.7157735137587063,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8786.0,43940.5,51048.81710646042,0.5748385483935892,0.13314093956454048,0.07380588227146301,0.5236510061718798,0.0,0.0,0.5641844354591791,0.11324287559692364,0.06417054900400299,0.5076926137672152,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8787.0,43945.5,51054.73157415833,0.20416784986973496,0.06870417786165847,0.031573925245301,0.19385875376805467,0.0,0.0,0.20111233100864845,0.04541316779111251,0.029195796221694756,0.18059040167970666,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8788.0,43950.5,51060.646041856235,0.06794062903727482,0.025009067498698474,0.00786639522413065,0.07420279781818515,0.0,0.0,0.10077447731294585,0.010115320755267233,0.006850743396946951,0.10072683341521922,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8789.0,43955.5,51066.56050955414,0.03661096892397918,0.02705452370331001,0.0075967318475230975,0.043168252862576494,0.0,0.0,0.05880734653453364,0.02080240513783151,0.007344856034003274,0.057174201818836375,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8790.0,43960.5,51072.474977252044,0.045331021245899245,0.02705853591272145,0.005498546420669647,0.04898812973527269,0.0,0.0,0.06958299369348804,0.020819986524219184,0.007495050441772456,0.06854172469557393,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8791.0,43965.5,51078.38944494996,0.2532433355593241,0.044398022827505795,0.022508286659914077,0.23607171453181897,0.0,0.0,0.20862508605714866,0.05074206415253824,0.024897933315302784,0.19396042371552355,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8792.0,43970.5,51084.30391264786,0.0882597246726724,0.004473545743823882,0.004489874835627494,0.08802677143636223,0.0,0.0,0.07905943571581504,0.019323034168239717,0.004476491286365314,0.07955823354572811,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8793.0,43975.5,51090.21838034577,0.011725011072717013,0.006389214786515734,0.004828958090733129,0.01569857012142395,0.0,0.0,0.06603927989743347,0.024410865744473015,0.004947865758483375,0.06768681406316011,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8794.0,43980.5,51096.13284804368,0.028021593163727012,0.01093930676999446,0.005248554110093488,0.026258804989826107,0.0,0.0,0.08580685334698655,0.017344156219885797,0.007923018676791934,0.09092020038274386,0.0,0.0,window,,,,
B_Exp2_to_Exp1,Exp1,8795.0,43985.5,51102.04731574158,0.07925247843169675,0.014695317820182938,0.010120184333168325,0.06896259200575833,0.0,0.0,0.017271892702513898,0.019675183481128754,0.013327800466623326,0.02773515237986877,0.0,0.0,window,,,,
