episode_id,protocol_id,target_dataset,start_cycle_effective,end_cycle_effective,peak_cycle_effective,start_cycle_actual,end_cycle_actual,peak_cycle_actual,peak_change_score,support_peak,support_mean,support_median,support_min,support_ge_080_duration_fraction,configuration_support,location_uncertainty_actual,configuration_peak_count,directed_evidence_support_mean,rate_divergence_evidence_support_mean,abrupt_evidence_support_mean,directed_evidence_share,rate_divergence_evidence_share,abrupt_evidence_share,evidence_composition,dominant_evidence,covers_guard_or_stop_boundary
A_Exp1_to_Exp2:011,A_Exp1_to_Exp2,Exp2,6891.0,7310.0,7285.5,11976.666666666666,12675.0,12634.166666666666,84.09450827779546,1.0,0.8487654320987656,0.875,0.375,0.5432098765432101,1.0,16.66666666666788,24,0.07613168724279837,0.5303497942386831,0.4542181069958849,0.07177497575169738,0.4999999999999999,0.42822502424830267,directed=0.072;rate_divergence=0.500;abrupt=0.428,rate_divergence,True
A_Exp1_to_Exp2:012,A_Exp1_to_Exp2,Exp2,7291.0,7625.0,7300.5,12643.333333333332,13200.0,12659.166666666666,28.88874585374957,0.9583333333333334,0.41276041666666735,0.4583333333333333,0.041666666666666664,0.04687499999999993,0.9583333333333334,0.0,24,0.03906250000000046,0.11848958333333404,0.3242187499999995,0.08108108108108192,0.24594594594594707,0.672972972972971,directed=0.081;rate_divergence=0.246;abrupt=0.673,abrupt,True
A_Exp1_to_Exp2:013,A_Exp1_to_Exp2,Exp2,7791.0,8220.0,7840.5,13476.666666666666,14191.666666666668,13559.166666666666,25.60561021006972,1.0,0.6255020080321292,0.6666666666666666,0.125,0.39759036144578375,1.0,450.0000000000018,24,0.06877510040160659,0.4603413654618485,0.20080321285140545,0.09422283356258605,0.6306740027510322,0.27510316368638177,directed=0.094;rate_divergence=0.631;abrupt=0.275,rate_divergence,True
A_Exp1_to_Exp2:014,A_Exp1_to_Exp2,Exp2,8396.0,9010.0,8710.5,14485.0,15508.333333333334,15009.166666666666,36.43600784111912,1.0,0.6538194444444435,0.6875,0.0,0.4083333333333322,1.0,0.0,24,0.12361111111111113,0.5548611111111103,0.29652777777777767,0.12678062678062693,0.5690883190883187,0.3041310541310543,directed=0.127;rate_divergence=0.569;abrupt=0.304,rate_divergence,True
A_Exp1_to_Exp2:015,A_Exp1_to_Exp2,Exp2,8991.0,9535.0,9390.5,15476.666666666666,16383.333333333334,16142.5,24.231125566649432,1.0,0.5888364779874213,0.5833333333333334,0.16666666666666666,0.23584905660377387,1.0,0.0,24,0.024764150943396238,0.49921383647798695,0.2857704402515725,0.030582524271844682,0.6165048543689317,0.35291262135922363,directed=0.031;rate_divergence=0.617;abrupt=0.353,rate_divergence,True
A_Exp1_to_Exp2:016,A_Exp1_to_Exp2,Exp2,9516.0,9850.0,9610.5,16351.666666666666,16908.333333333332,16509.166666666668,20.24417890461792,1.0,0.8522135416666662,1.0,0.25,0.7812499999999989,1.0,0.0,24,0.24544270833333287,0.6861979166666665,0.5638020833333325,0.1641271223334783,0.45885938180235125,0.37701349586417043,directed=0.164;rate_divergence=0.459;abrupt=0.377,rate_divergence,True
A_Exp1_to_Exp2:017,A_Exp1_to_Exp2,Exp2,9831.0,10200.0,9990.5,16876.666666666668,17491.666666666668,17142.5,60.148472049628666,1.0,0.8350938967136148,0.9583333333333334,0.2916666666666667,0.6901408450704218,1.0,58.33333333333212,24,0.05046948356807519,0.5099765258215962,0.5792253521126755,0.04428424304840379,0.4474768280123586,0.5082389289392376,directed=0.044;rate_divergence=0.447;abrupt=0.508,abrupt,True
A_Exp1_to_Exp2:018,A_Exp1_to_Exp2,Exp2,10181.0,10500.0,10260.5,17460.0,17991.666666666668,17592.5,55.88159703974061,1.0,0.9084699453551908,0.9583333333333334,0.2916666666666667,0.8196721311475399,1.0,0.0,24,0.062158469945355024,0.4453551912568308,0.6482240437158463,0.05378250591016537,0.38534278959810914,0.5608747044917255,directed=0.054;rate_divergence=0.385;abrupt=0.561,abrupt,True
A_Exp1_to_Exp2:019,A_Exp1_to_Exp2,Exp2,10481.0,11090.0,10590.5,17960.0,18975.0,18142.5,123.77007396615934,1.0,0.7570028011204477,1.0,0.0,0.6638655462184873,1.0,8.33333333333212,24,0.07037815126050403,0.44047619047619,0.4299719887955178,0.07480461481205795,0.4681801265351693,0.45701525865277265,directed=0.075;rate_divergence=0.468;abrupt=0.457,rate_divergence,True
A_Exp1_to_Exp2:020,A_Exp1_to_Exp2,Exp2,11071.0,11530.0,11470.5,18943.333333333332,19708.333333333332,19609.166666666664,29.295191756082023,1.0,0.7322097378277154,0.7916666666666666,0.0,0.39325842696629315,1.0,191.66666666666424,24,0.07958801498127369,0.4367977528089886,0.3366104868913853,0.09330406147091146,0.5120746432491767,0.3946212952799118,directed=0.093;rate_divergence=0.512;abrupt=0.395,rate_divergence,True
