source_dataset,change_threshold,candidate_min_windows,min_dwell_windows,selection_score,Stage5_AUROC,Stage5_AUPRC,Stage45_AUROC,Stage45_AUPRC,Ordinal_MAE,ordinal_macro_F1,risk_stage_spearman,Stage5_recall,Stage1to2_false_high_rate,ECE,Brier,mean_posterior_entropy,mean_confidence,exact_Stage5_recall,LateState_recall,stable_stage5_detection_cycle,lead_lag_cycles,Stage1to2_false_alarm_rate,mean_boundary_MAE,missed_transition_count,extra_transition_count,early_false_transition_count
Exp1,2.5,15,200,0.44263992069324476,0.8400226032828014,0.45225064378482804,0.7594193665817255,0.7433546551091089,0.9252852410747148,0.10725454688560339,0.7534130364257872,1.0,0.010317460317460317,0.2659193372865885,0.2533567028296672,0.9552339179347927,0.6742257303188386,0.0,1.0,,,0.0,11155.0,1,0,3
Exp1,2.5,25,50,0.43464244175719113,0.7754908225938154,0.37671485112307734,0.7569318043926708,0.7408798823796426,0.9746043430253957,0.12009592202934413,0.6904365249525459,1.0,0.007142857142857143,0.30868124237842176,0.2846495852122819,0.9602768154511351,0.6720123819316431,0.0,1.0,,,0.0,11348.333333333334,1,0,3
Exp1,2.5,25,100,0.459931300148293,0.9168182920912179,0.6069278012407733,0.7594193665817255,0.7433546551091089,0.8700772911299227,0.10307225966352507,0.7866440021765138,1.0,0.007142857142857143,0.23138407607747416,0.22197180834589555,0.9684754740394623,0.6639986128118975,0.0,1.0,,,0.0,11265.0,1,0,3
Exp1,2.5,25,200,0.4450760481239868,0.8497147962746003,0.4666472467273058,0.7594193665817255,0.7433546551091089,0.9138755980861244,0.10915342893585571,0.7612835164026056,1.0,0.009523809523809525,0.25899382304828894,0.24661389727305488,0.9605045005857257,0.6709377733657691,0.0,1.0,,,0.0,11105.0,1,0,3
Exp1,2.5,40,50,0.461672082357111,0.8956972402693459,0.5437412524782139,0.2742461473122194,0.4738872893354127,0.6742730953257269,0.2649542454928512,0.7887943531466644,1.0,0.0,0.10009571488378562,0.09166274511223794,0.978860062080708,0.6478641067683086,1.0,1.0,33020.5,9285.0,0.0,6880.0,1,0,3
Exp1,2.5,40,100,0.46434715425603823,0.8956972402693459,0.5437412524782139,0.2742461473122194,0.4738872893354127,0.6654398233345602,0.2760638711613003,0.789080986571751,1.0,0.0,0.10009571488378562,0.09166274511223794,0.9800083249808897,0.6464950438941065,1.0,1.0,33020.5,9285.0,0.0,6875.0,1,0,3
Exp1,2.5,40,200,0.47713154068652097,0.9097606833055231,0.5833288258216229,0.310001061764349,0.4852267321190628,0.6407802723592197,0.3036632286908924,0.7955346238436322,1.0,0.0,0.09391505475113261,0.09256405087470014,0.9649822146728386,0.6555258222666389,1.0,1.0,32995.5,9310.0,0.0,6716.666666666667,1,0,3
Exp1,3.0,15,50,0.4697266955329853,0.9530745198281677,0.7433546551091089,0.7569318043926708,0.7408798823796426,0.9867500920132499,0.1156167734780937,0.6871221528271332,1.0,0.024603174603174603,0.2877421150715828,0.2560943423061087,0.9920755057779381,0.6494503476748283,0.0,1.0,,,0.0,11435.0,1,0,3
Exp1,3.0,15,100,0.4711775803425222,0.9530745198281677,0.7433546551091089,0.7594193665817255,0.7433546551091089,0.9230769230769231,0.10484700427877258,0.7221451379586783,1.0,0.024603174603174603,0.25430093384356645,0.2300404899992854,0.990077135445184,0.6454461421935773,0.0,1.0,,,0.0,11378.333333333334,1,0,3
Exp1,3.0,15,200,0.44263992069324476,0.8400226032828014,0.45225064378482804,0.7594193665817255,0.7433546551091089,0.9252852410747148,0.10725454688560339,0.7534130364257872,1.0,0.010317460317460317,0.2659193372865885,0.2533567028296672,0.9552339179347927,0.6742257303188386,0.0,1.0,,,0.0,11155.0,1,0,3
Exp1,3.0,25,50,0.43464244175719113,0.7754908225938154,0.37671485112307734,0.7569318043926708,0.7408798823796426,0.9746043430253957,0.12009592202934413,0.6904365249525459,1.0,0.007142857142857143,0.30868124237842176,0.2846495852122819,0.9602768154511351,0.6720123819316431,0.0,1.0,,,0.0,11348.333333333334,1,0,3
Exp1,3.0,25,100,0.459931300148293,0.9168182920912179,0.6069278012407733,0.7594193665817255,0.7433546551091089,0.8700772911299227,0.10307225966352507,0.7866440021765138,1.0,0.007142857142857143,0.23138407607747416,0.22197180834589555,0.9684754740394623,0.6639986128118975,0.0,1.0,,,0.0,11265.0,1,0,3
Exp1,3.0,25,200,0.4450760481239868,0.8497147962746003,0.4666472467273058,0.7594193665817255,0.7433546551091089,0.9138755980861244,0.10915342893585571,0.7612835164026056,1.0,0.009523809523809525,0.25899382304828894,0.24661389727305488,0.9605045005857257,0.6709377733657691,0.0,1.0,,,0.0,11105.0,1,0,3
Exp1,3.0,40,50,0.461672082357111,0.8956972402693459,0.5437412524782139,0.2742461473122194,0.4738872893354127,0.6742730953257269,0.2649542454928512,0.7888007501158079,1.0,0.0,0.10009571488378562,0.09166274511223794,0.978857867220786,0.6478327636177198,1.0,1.0,33020.5,9285.0,0.0,6880.0,1,0,3
