direction,source_dataset,target_dataset,source_exp2_variant,target_exp2_variant,exp2_variant,seed,source_model_state_sha256,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,adapter_frozen_fraction,event_status,fast_score,slow_score,residual_persistent,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,13,Exp2,V35_SlowResidual_CalibrationOnly,11420.5,11430.5,11500.5,10.81381752079947,1.0,unmatched_candidate_event,6.523894202155256,21.26189766300168,17.15960318245318,19525.833333333332,19542.5,19659.166666666668
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,14,Exp2,V35_SlowResidual_CalibrationOnly,11720.5,11750.5,11800.5,5.925918092918916,1.0,unmatched_candidate_event,10.616423339723552,11.54765976586446,15.145259973156502,20025.887265135698,20075.991649269312,20159.498956158663
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,1,Exp2,V35_SlowResidual_OnlineAdaptation,3030.5,3070.5,3100.5,4.560311471357404,1.0,unmatched_candidate_event,9.141527705716378,8.774678150682567,14.303501524361456,5542.5,5609.166666666667,5659.166666666667
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,2,Exp2,V35_SlowResidual_OnlineAdaptation,6925.5,6930.5,7000.5,4.882687238908609,1.0,unmatched_candidate_event,9.013964005130417,9.37684255452315,13.15741969053069,12034.166666666666,12042.5,12159.166666666666
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,3,Exp2,V35_SlowResidual_OnlineAdaptation,10220.5,10230.5,10265.5,3.0188831036801083,1.0,unmatched_candidate_event,6.448790763861623,5.65207361092467,13.522006758035449,17525.833333333332,17542.5,17600.833333333332
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3403,24a3cf1782468b373d0a3c579214e70a0355f76fbe60970fde2f117b8caca3e2,4,Exp2,V35_SlowResidual_OnlineAdaptation,10520.5,10540.5,10600.5,4.848822741318847,1.0,unmatched_candidate_event,10.375259839776444,9.352633264877609,15.263651875032018,18025.833333333332,18059.166666666668,18159.166666666668
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3404,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,1,Exp2,V35_SlowResidual_CalibrationOnly,6915.5,6955.5,7010.5,1.4955799228510394,1.0,unmatched_candidate_event,24.51829588719724,2.553411413542655,28.49654041569264,12017.5,12084.166666666666,12175.833333333334
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3404,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,2,Exp2,V35_SlowResidual_CalibrationOnly,8725.5,8750.5,8780.5,0.7886881656152164,1.0,unmatched_candidate_event,17.008260168651667,1.1822144044840643,19.847139407041027,15034.166666666666,15075.833333333334,15125.833333333334
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3404,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,3,Exp2,V35_SlowResidual_CalibrationOnly,9315.5,9320.5,9405.5,1.73041670858144,1.0,unmatched_candidate_event,30.98241682856941,2.967681186184868,25.140967271359617,16017.5,16025.833333333334,16167.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3404,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,4,Exp2,V35_SlowResidual_CalibrationOnly,9620.5,9650.5,9705.5,1.240793559203537,1.0,unmatched_candidate_event,32.14206322061433,2.068174845476929,25.617674572257712,16525.833333333332,16575.833333333332,16667.5
