dataset,window_id,window_index,start_cycle,end_cycle,center_cycle,baseline_window_500,baseline_window_1000,baseline_window_2000,rx_mean,rx_absmean,rx_rms,rx_std,rx_p2p,rx_q95,rx_q05,ry_mean,ry_absmean,ry_rms,ry_std,ry_p2p,ry_q95,ry_q05,rs_mean,rs_absmean,rs_rms,rs_std,rs_p2p,rs_q95,rs_q05
Exp2,2707,2707,13536.0,13555.0,13545.5,0,0,0,0.2653505711765747,0.2653505711765747,0.2883464763357913,0.1128193624940753,0.3843292579723837,0.50541203984618,0.1619621611023127,-0.225947237012906,0.225947237012906,0.2291998009553947,0.0384700806864995,0.1446679584468033,-0.1669940362099618,-0.2863198552216122,0.355167630959749,0.355167630959749,0.3686104866901891,0.0976261489992915,0.3669032836742643,0.5790029726074379,0.2642672339179669
Exp2,2708,2708,13541.0,13560.0,13550.5,0,0,0,0.2656602286955015,0.2660346509932562,0.2887609305240814,0.1122731113026271,0.3841830477954453,0.505854722621371,0.1640316563556494,-0.225947237012906,0.2258457278062705,0.2291575083966023,0.0388129557026171,0.1455092620352159,-0.166933249771947,-0.2872292448188381,0.3554350856834031,0.3554350856834031,0.3684157316789075,0.0977777747409829,0.3690358483864321,0.579780397073022,0.2641266621449643
Exp2,2709,2709,13546.0,13565.0,13555.5,0,0,0,0.2656602286955015,0.2660793906008178,0.2886258586444304,0.1118260809891496,0.3821295692923535,0.5064100209330987,0.16543684995816,-0.2259024422866566,0.2259024422866566,0.2292763307431732,0.0391850299229578,0.1459348661990623,-0.166792122513087,-0.2882745305746186,0.3554120376213575,0.3554120376213575,0.3684157316789075,0.0977451027875479,0.3688505374705491,0.5806129826246752,0.2630625179342659
Exp2,2710,2710,13551.0,13570.0,13560.5,0,0,0,0.2656602286955015,0.2656602286955015,0.2881649718532588,0.1116368702641897,0.3821292164083444,0.5062238203495544,0.16543684995816,-0.2258457278062705,0.2261331863579042,0.2295371203460434,0.0393783302111048,0.1459494204612131,-0.1670659030908285,-0.2884635752049952,0.355223111172211,0.355223111172211,0.3684157316789075,0.0977017569423948,0.3685511949523486,0.580440130455394,0.2626185687926508
Exp2,2711,2711,13556.0,13575.0,13565.5,0,0,0,0.26462033784743,0.26462033784743,0.287046782839463,0.1112185848908739,0.381990033310717,0.5053588009591199,0.16543684995816,-0.2258429575458225,0.2258429575458225,0.2293094051346113,0.039710160868423,0.1468431300010742,-0.1664054668274722,-0.2884635752049952,0.3541885405014733,0.3541885405014733,0.3673994183606144,0.0976260895034222,0.368589562326058,0.5800289009599131,0.2620555870631745
Exp2,2712,2712,13561.0,13580.0,13570.5,0,0,0,0.2636085941399911,0.2636085941399911,0.2860344407820193,0.1110088424528971,0.3813008535154738,0.5034857861844089,0.1634248228579987,-0.2252560553630246,0.2252560553630246,0.2287746011418999,0.0399557317542394,0.1472847897848549,-0.1653411493753242,-0.2884635752049952,0.3530816068096388,0.3530816068096388,0.366274671853268,0.097406569133778,0.3658729907437114,0.5782123429015811,0.2614431315232718
Exp2,2713,2713,13566.0,13585.0,13575.5,0,0,0,0.2636085941399911,0.2629123016894653,0.2851582117962734,0.1104018393104937,0.3799171955049577,0.5005502852675591,0.1631264322625749,-0.2246914091996512,0.2246914091996512,0.228245333501138,0.0401059777173705,0.1472847897848549,-0.1643779768537111,-0.2881461249058119,0.3521508429519751,0.3521508429519751,0.3652603600747539,0.0969645663331184,0.363426708462946,0.575743602862794,0.2615642288961476
Exp2,2714,2714,13571.0,13590.0,13580.5,0,0,0,0.2636085941399911,0.2632250818118279,0.2853736114742543,0.1102135473830111,0.3787809282780387,0.5007518424768818,0.1631264322625749,-0.2235801414818992,0.2235801414818992,0.2271950143351468,0.0403596957767973,0.1472847897848549,-0.1625222046996859,-0.2874372177040878,0.3516168501862788,0.3516168501862788,0.3648930479439302,0.0970653951460992,0.3632711917943513,0.5756991825604956,0.2617055584637324
Exp2,2715,2715,13576.0,13595.0,13585.5,0,0,0,0.2637293674413979,0.2637293674413979,0.2858138035983463,0.1101512537687931,0.3780607697458266,0.5001543125150902,0.1631264322625749,-0.2230135916071721,0.2230135916071721,0.2266201187045849,0.0402594076974199,0.1475170930901464,-0.1624543424629921,-0.287428973066273,0.3515925119362901,0.3515925119362901,0.364772237490336,0.0971123443421423,0.3622524869772324,0.5746321252881478,0.2615268586888876
Exp2,2716,2716,13581.0,13600.0,13590.5,0,0,0,0.2644835975575843,0.2644835975575843,0.2864936571262042,0.110112520867001,0.3762749189306517,0.5022697119036648,0.1652539930624145,-0.2223703788088572,0.2223703788088572,0.2259730288416823,0.0401792327397129,0.1477587004096794,-0.1621915394077666,-0.2873063880606382,0.3516422546350527,0.3516422546350527,0.3647601515113295,0.0974304242046372,0.3631788952043369,0.5762186857417392,0.2617211236504448
Exp2,2717,2717,13586.0,13605.0,13595.5,0,0,0,0.2649178780960613,0.2649178780960613,0.2867326754243067,0.1096797976648883,0.3755872562404649,0.5009345908819853,0.1661804498159598,-0.2216355057840221,0.2216355057840221,0.2253035536954088,0.0404652347173718,0.1477587004096794,-0.1615128897869348,-0.2866421156995173,0.3513821982560141,0.3513821982560141,0.3646657933627268,0.097518307899167,0.3638650663554418,0.575477091498712,0.2611583485183465
Exp2,2718,2718,13591.0,13610.0,13600.5,0,0,0,0.265099954154172,0.265099954154172,0.2867217524129022,0.109197106520258,0.3741018848940459,0.4991626174763664,0.1671293860463519,-0.2204865993213453,0.2204865993213453,0.2241206388917289,0.0401715180690764,0.1479053298010129,-0.1610584316596537,-0.286119817056192,0.3506899723497795,0.3506899723497795,0.3639318972854887,0.0972526751060315,0.36343845117621,0.5735723214588709,0.2603786966937915
Exp2,2719,2719,13596.0,13615.0,13605.5,0,0,0,0.2651345455780424,0.265565061875752,0.2870591100960422,0.1089577365198428,0.3723459182501664,0.4990006450795569,0.1686536977157603,-0.2195268611967057,0.2195268611967057,0.2231676662716615,0.0401275360106557,0.1479053298010129,-0.1598216138881372,-0.2850104210107611,0.3503959391155337,0.3503959391155337,0.3636110869832905,0.0971125368517164,0.3634240923556033,0.5729630671824337,0.2598369291731215
Exp2,2720,2720,13601.0,13620.0,13610.5,0,0,0,0.2653740705319506,0.2651345455780424,0.2861352771044442,0.1075634670795969,0.3682434296066493,0.494111480943745,0.1691107146839041,-0.218769267461317,0.218769267461317,0.2224058112968571,0.0400368428688373,0.1479706934401964,-0.1589992818725305,-0.2842405703469406,0.3495041043147221,0.3495041043147221,0.3625486265074405,0.0958336377737426,0.3597251273302809,0.5680212029877519,0.2594983180490997
Exp2,2721,2721,13606.0,13625.0,13615.5,0,0,0,0.2654903041585003,0.2653740705319506,0.2865007875956227,0.1079489456281234,0.3679187939972178,0.4959759973715457,0.169742317318584,-0.2184237960091179,0.2181448444225321,0.2217204456549814,0.0396574385811021,0.1481023229426424,-0.158745146792623,-0.2824955198968247,0.3493120200862605,0.3493120200862605,0.3625486265074405,0.0960234963859075,0.3595266791010108,0.5685653751904078,0.2591916005721607
Exp2,2722,2722,13611.0,13630.0,13620.5,0,0,0,0.2654903041585003,0.2654903041585003,0.2865935217265328,0.1079228513932443,0.3677519951347893,0.4958297040087757,0.169742317318584,-0.2184089270694117,0.2184237960091179,0.2220435516548715,0.0399289751286483,0.1481023229426424,-0.1587988393683169,-0.2821322001141213,0.3495699116853418,0.3495699116853418,0.3625486265074405,0.0961168340278008,0.3603263981605148,0.5685760388948,0.2587737257419523
Exp2,2723,2723,13616.0,13635.0,13625.5,0,0,0,0.2657842028034102,0.2657842028034102,0.2868961985441455,0.108002224087559,0.3669253841034962,0.4955137402582648,0.169742317318584,-0.2181448444225321,0.2184089270694117,0.2220346948278054,0.0399607941453932,0.1481023229426424,-0.1589377979228366,-0.2820625754734533,0.3497744738851351,0.3497744738851351,0.3627834805629443,0.0962570328665146,0.3598430169359242,0.5685121693338543,0.2586180986026439
Exp2,2724,2724,13621.0,13640.0,13630.5,0,0,0,0.2664773323481929,0.2664773323481929,0.2879908463910144,0.1092102269889494,0.3705706023164355,0.4993200357299221,0.1692186757739429,-0.2181424519489762,0.2181424519489762,0.2217927844246097,0.0400720794610988,0.1481582061768109,-0.1587141381521777,-0.2820625754734533,0.3501818616747857,0.3501818616747857,0.3635017083030364,0.0974903186757295,0.3633569918112506,0.5721200569615412,0.2581364894580961
Exp2,2725,2725,13626.0,13645.0,13635.5,0,0,0,0.2670205375523196,0.2670205375523196,0.2886454747588206,0.1096088035874042,0.371346368185488,0.5003894274765394,0.1689933346256847,-0.2177347071385012,0.2177347071385012,0.2214270084368469,0.0402659509953525,0.1481582061768109,-0.1579914735564059,-0.2820625754734533,0.3504010158178532,0.3504010158178532,0.3635017083030364,0.0978042346972822,0.3642668032792004,0.572837248422486,0.2578033918889704
Exp2,2726,2726,13631.0,13650.0,13640.5,0,0,0,0.2671156171517624,0.2671533049102589,0.2887829191752685,0.1096476195315645,0.3705395045914242,0.5000645067732284,0.1683369083680801,-0.2171016462628142,0.2171016462628142,0.220810731066102,0.04029931546091,0.1481582061768109,-0.15705206046621,-0.2820625754734533,0.35016009507609,0.35016009507609,0.3635017083030364,0.0976711177642785,0.3622865207534318,0.5718249779477259,0.2575958521714553
Exp2,2727,2727,13636.0,13655.0,13645.5,0,0,0,0.2671214804677387,0.2671156171517624,0.2888957629373532,0.1100364846699658,0.3717312708518984,0.5006256231259101,0.1668337799435776,-0.2167815348983091,0.2167815348983091,0.2205344249171942,0.0405095386393545,0.1480008106791476,-0.1560031243438203,-0.2825695083937514,0.3500228500656854,0.3500228500656854,0.3634519154378782,0.0978717680218279,0.3621336166088932,0.5721497046804015,0.2574490228780934
