direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,adapter_frozen_fraction,event_status,fast_score,slow_score,residual_persistent,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,3402,2,Exp2,V341_OnlineAdaptation,3005.5,3315.5,3650.5,4.383250913851936,1.0,unmatched_candidate_event,,,,5500.833333333333,6017.5,6575.833333333333
Exp1_to_Exp2,Exp1,Exp2,3402,3,Exp2,V341_OnlineAdaptation,6910.5,6965.5,7190.5,2.0903786178461647,1.0,unmatched_candidate_event,,,,12009.166666666666,12100.833333333334,12475.833333333334
Exp1_to_Exp2,Exp1,Exp2,3402,4,Exp2,V341_OnlineAdaptation,9910.5,9930.5,9975.5,2.115226830523444,1.0,unmatched_candidate_event,,,,17009.166666666668,17042.5,17117.5
Exp1_to_Exp2,Exp1,Exp2,3402,5,Exp2,V341_OnlineAdaptation,10510.5,10530.5,10575.5,2.574283120408611,1.0,unmatched_candidate_event,,,,18009.166666666668,18042.5,18117.5
Exp1_to_Exp2,Exp1,Exp2,3402,6,Exp2,V341_OnlineAdaptation,10825.5,10830.5,10865.5,1.7731503694165776,1.0,unmatched_candidate_event,,,,18534.166666666668,18542.5,18600.833333333332
Exp1_to_Exp2,Exp1,Exp2,3402,1,Exp2,V35_SlowOnly_CalibrationOnly,650.5,650.5,660.5,0.8248048366233247,1.0,unmatched_candidate_event,2.467078165921831,1.2335474970190798,2.2741645868286176,1581.8423768308921,1581.8423768308921,1598.4835219707056
Exp1_to_Exp2,Exp1,Exp2,3402,2,Exp2,V35_SlowOnly_CalibrationOnly,950.5,950.5,1190.5,1.4668888375779443,1.0,unmatched_candidate_event,3.10876111423083,2.537308320526372,7.312089078976517,2081.0767310252995,2081.0767310252995,2480.4642143808255
Exp1_to_Exp2,Exp1,Exp2,3402,3,Exp2,V35_SlowOnly_CalibrationOnly,1515.5,1530.5,1530.5,0.7752688221211566,1.0,unmatched_candidate_event,5.355103645084522,1.1434621795168187,21.960297010711134,3021.301431424767,3046.2631491344873,3046.2631491344873
Exp1_to_Exp2,Exp1,Exp2,3402,4,Exp2,V35_SlowOnly_CalibrationOnly,2420.5,2430.5,2430.5,0.7859687885714678,1.0,unmatched_candidate_event,1.0413093860803413,1.1762598616030033,1.2475470890306917,4527.325066577896,4543.96621171771,4543.96621171771
Exp1_to_Exp2,Exp1,Exp2,3402,5,Exp2,V35_SlowOnly_CalibrationOnly,3010.5,3315.5,3665.5,5.795331288021922,1.0,unmatched_candidate_event,4.369672207193642,11.194536961400747,2.107777974006365,5509.166666666667,6017.5,6600.833333333333
