dataset,window_id,window_index,start_cycle_effective,end_cycle_effective,center_cycle_effective,start_cycle_actual,end_cycle_actual,center_cycle_actual,cycle_effective,cycle_actual,effective_configuration_count,D_state_q25,D_state_q50,D_state_q75,D_state_mad,V1000_norm_q25,V1000_norm_q50,V1000_norm_q75,V1000_norm_mad,multi_scale_rate_divergence_q25,multi_scale_rate_divergence_q50,multi_scale_rate_divergence_q75,multi_scale_rate_divergence_mad,state_volatility_q25,state_volatility_q50,state_volatility_q75,state_volatility_mad
Exp1,3818,3818,19091.0,19110.0,19100.5,21598.22878228782,21620.664206642068,21609.446494464944,19100.5,21609.446494464944,48,4.1378427416481065,5.4834172558220295,6.948887515101984,1.445668419556727,0.07340743749954079,0.09413998022488357,0.11668775031692072,0.020894895697011563,0.2844249498809931,0.3943089460763817,0.5087010558219391,0.11154299460865177,0.27998066485547013,0.4021460278366752,0.5192737906742504,0.11904090606235318
Exp1,3819,3819,19096.0,19115.0,19105.5,21604.132841328414,21626.568265682658,21615.350553505537,19105.5,21615.350553505537,48,3.9416155137924953,5.4164489160924685,6.820877624182897,1.4471733216208922,0.07156196523565349,0.09298732147197546,0.1297482569248902,0.02725410928493422,0.2652846547974055,0.3417033977342038,0.4518366417150549,0.09608511591202862,0.27253947181855354,0.38928352010921585,0.5103634679735548,0.12087209744902028
Exp1,3820,3820,19101.0,19120.0,19110.5,21610.036900369003,21632.472324723247,21621.254612546127,19110.5,21621.254612546127,48,3.8919131996177327,5.320496508891699,6.728489308982301,1.4317066059654906,0.062571250423989,0.08658506162810711,0.12755236224754044,0.034970396888657274,0.2393267455005884,0.3111007839983918,0.4163912820750931,0.09839335867544403,0.2702139949141051,0.38755217119554475,0.500696910739643,0.11611126363489518
Exp1,3821,3821,19106.0,19125.0,19115.5,21615.940959409592,21638.37638376384,21627.158671586716,19115.5,21627.158671586716,48,3.8315011279651308,5.194727867248648,6.6331842946368225,1.3782577187319074,0.06570048985862212,0.08991090793295792,0.12982210014804557,0.031388089539595085,0.21021865351602945,0.3051541290016231,0.42630483865195556,0.10354003316086513,0.2656932203207576,0.3848089250295594,0.48645421874404315,0.11039345575954534
Exp1,3822,3822,19111.0,19130.0,19120.5,21621.845018450185,21644.280442804426,21633.06273062731,19120.5,21633.06273062731,48,3.8414510361785177,5.203593853895625,6.628626317497464,1.3650953050212344,0.06535387757411795,0.09256457523037367,0.12511333286747978,0.030820034102236014,0.2420038316813075,0.3176555367712045,0.46667929342597486,0.09459924610623269,0.26039780759579606,0.38237771331140147,0.4718285690272132,0.10192788766828298
Exp1,3823,3823,19116.0,19135.0,19125.5,21627.749077490775,21650.18450184502,21638.966789667895,19125.5,21638.966789667895,48,3.808862175108382,5.1467885224610335,6.578072897637389,1.3868822257262445,0.07462294190430108,0.09850720944661953,0.11925853528867163,0.023708314454298565,0.11305088135843809,0.14838278825004994,0.23720788160289846,0.03644790472160529,0.25520056938295,0.37690035369589436,0.457532457446417,0.09821881201416419
Exp1,3824,3824,19121.0,19140.0,19130.5,21633.653136531364,21656.088560885608,21644.870848708488,19130.5,21644.870848708488,48,3.7995136562828273,5.151386839870537,6.579132009388051,1.3889186546526435,0.07365602476054223,0.09766295346538126,0.11533938545118683,0.023634724498646294,0.08445061390954806,0.11041217541051775,0.24598216909032225,0.07115047822020204,0.2521743335043199,0.37491115740512343,0.4500643742373143,0.09763813115294362
Exp1,3825,3825,19126.0,19145.0,19135.5,21639.557195571957,21661.992619926197,21650.774907749077,19135.5,21650.774907749077,48,3.885809739347363,5.310929346510827,6.738348488526251,1.427769633117615,0.06210688139932124,0.08402678341804523,0.11066749062378417,0.024755839587611256,0.15533126621047394,0.18876576007554483,0.3023348923703351,0.0418113969507722,0.2515675608676634,0.3746050641919464,0.4490232307080537,0.09564263149661739
Exp1,3826,3826,19131.0,19150.0,19140.5,21645.461254612543,21667.89667896679,21656.678966789666,19140.5,21656.678966789666,48,3.859834833356744,5.221117673361242,6.630079824505904,1.3735671078009843,0.07120863565266035,0.09809588437053106,0.19253518602994316,0.05852062433264164,0.1725325412147393,0.24493480350987107,0.327811700675013,0.07852541279368382,0.25128064354098945,0.3750949564041231,0.4477941850130682,0.09688684998765659
Exp1,3827,3827,19136.0,19155.0,19145.5,21651.365313653136,21673.80073800738,21662.58302583026,19145.5,21662.58302583026,48,3.867582738427357,5.236817406076305,6.65782152001062,1.3820329413039925,0.05650296875377368,0.08601995724311665,0.15742299274331115,0.040646862468602996,0.2140654054433177,0.29644649049054517,0.40241245453575936,0.08962459105863052,0.2510381719753705,0.376237901418532,0.44592233217055255,0.0992360678348021
