dataset,direction_id,window_id,window_index,center_cycle,stage_label,stage,Hx,Hy,AWR_M3_equal,AWR_M3_weighted,alpha_x,alpha_y
Exp1,Exp1_to_Exp2,153,153,775.5,Stage 1,1,-1.34049339402823,0.20348451495293907,-0.5685044395376455,-0.10531106684329478,0.2,0.8
Exp1,Exp1_to_Exp2,154,154,780.5,Stage 1,1,-1.275497946307007,0.16455187440667784,-0.5554730359501646,-0.12345808973605912,0.2,0.8
Exp1,Exp1_to_Exp2,155,155,785.5,Stage 1,1,-1.2804312509456752,0.16090006823523392,-0.5597655913552206,-0.12736619560094792,0.2,0.8
Exp1,Exp1_to_Exp2,156,156,790.5,Stage 1,1,-1.297408403361373,0.17315068912635923,-0.5621288571175069,-0.12096112937118722,0.2,0.8
Exp1,Exp1_to_Exp2,157,157,795.5,Stage 1,1,-1.2823059205803307,0.0866356142997617,-0.5978351531402845,-0.18715269267625678,0.2,0.8
Exp1,Exp1_to_Exp2,158,158,800.5,Stage 1,1,-1.3521886786179083,0.10008513493529925,-0.6260517718413046,-0.19036962777534225,0.2,0.8
Exp1,Exp1_to_Exp2,159,159,805.5,Stage 1,1,-1.2822454660225964,0.13075008884129205,-0.5757476885906522,-0.15184902213148566,0.2,0.8
Exp1,Exp1_to_Exp2,160,160,810.5,Stage 1,1,-1.2031726142354906,0.18905578146107832,-0.5070584163872062,-0.08938989767823546,0.2,0.8
Exp1,Exp1_to_Exp2,161,161,815.5,Stage 1,1,-1.1578605890673845,0.22621451494275685,-0.46582303706231387,-0.05060050585927142,0.2,0.8
Exp1,Exp1_to_Exp2,162,162,820.5,Stage 1,1,-0.108071278505257,0.9501360364797533,0.42103237898724816,0.7384945734827514,0.2,0.8
Exp1,Exp1_to_Exp2,163,163,825.5,Stage 1,1,-0.197369713241283,0.9458698222128805,0.37425005448579873,0.7172219151220478,0.2,0.8
Exp1,Exp1_to_Exp2,164,164,830.5,Stage 1,1,-0.2814515612471577,0.8705843917532156,0.29456641525302896,0.640177201153141,0.2,0.8
Exp1,Exp1_to_Exp2,165,165,835.5,Stage 1,1,-0.4161389744590228,0.8870465408479753,0.23545378319447624,0.6264094377865758,0.2,0.8
Exp1,Exp1_to_Exp2,166,166,840.5,Stage 1,1,-1.5231911948316643,0.1545366072112446,-0.6843272938102098,-0.18100895319733723,0.2,0.8
Exp1,Exp1_to_Exp2,167,167,845.5,Stage 1,1,-1.5070178522235547,0.10950860851652755,-0.6987546218535136,-0.2137966836314889,0.2,0.8
Exp1,Exp1_to_Exp2,168,168,850.5,Stage 1,1,-1.5869885711939653,0.12754791975968455,-0.7297203257171404,-0.21535937843104547,0.2,0.8
Exp1,Exp1_to_Exp2,169,169,855.5,Stage 1,1,-1.5607516784181008,0.08312033736823987,-0.7388156705249305,-0.24565406578902826,0.2,0.8
Exp1,Exp1_to_Exp2,170,170,860.5,Stage 1,1,-1.4575256187123125,0.07112753844121653,-0.693199040135548,-0.23460309298948928,0.2,0.8
Exp1,Exp1_to_Exp2,171,171,865.5,Stage 1,1,-1.4230769824226575,0.03037555290062452,-0.6963507147610165,-0.2603149541640319,0.2,0.8
Exp1,Exp1_to_Exp2,172,172,870.5,Stage 1,1,-1.355976122318927,0.027375825107739338,-0.6643001486055938,-0.24929456437759395,0.2,0.8
Exp1,Exp1_to_Exp2,173,173,875.5,Stage 1,1,-1.2938596696345224,0.018673578705252727,-0.6375930454646348,-0.24383307096270232,0.2,0.8
