dataset,entry_cycle,window_index,center_cycle,state_uncertainty,uncertainty_feature_config_dispersion,uncertainty_ood,uncertainty_target_pair_evidence,uncertainty_prior_adapted_disagreement,uncertainty_adapter_boundary,uncertainty_local_volatility_or_gate,direction
Exp2,0.0,79,405.5,0.23420391432252974,0.0002750817549545603,0.2976212132471221,1.0,0.0,0.0,0.10732719093310172,Exp1_to_Exp2
Exp2,0.0,80,410.5,0.23412406478126524,0.00027457010448650226,0.29622703308716547,1.0,0.0,0.0,0.10824278549593953,Exp1_to_Exp2
Exp2,0.0,81,415.5,0.23409335626895214,0.0002740508795248126,0.29518731533302534,1.0,0.0,0.0,0.10909877140116275,Exp1_to_Exp2
Exp2,0.0,82,420.5,0.2341856379398004,0.0002777917126419484,0.29494635515655954,1.0,0.0,0.0,0.10988968076960108,Exp1_to_Exp2
Exp2,0.0,83,425.5,0.2343449819407446,0.00027629188303604225,0.2951559500260361,1.0,0.0,0.0,0.1106376497353954,Exp1_to_Exp2
Exp2,0.0,84,430.5,0.23434088798186867,0.0002753777567067205,0.2944151114276058,1.0,0.0,0.0,0.11135483870689944,Exp1_to_Exp2
Exp2,0.0,85,435.5,0.23433298246899636,0.0002765643400279498,0.29368118333244764,1.0,0.0,0.0,0.11204014714150276,Exp1_to_Exp2
Exp2,0.0,86,440.5,0.23450750288481928,0.00027183993527690455,0.29408777278272724,1.0,0.0,0.0,0.11268540459091154,Exp1_to_Exp2
Exp2,0.0,87,445.5,0.2345381494042529,0.0002621611159365123,0.2936630533024145,1.0,0.0,0.0,0.11330368200716648,Exp1_to_Exp2
Exp2,0.0,88,450.5,0.2346468921344642,0.00026109988127937233,0.29374591794292604,1.0,0.0,0.0,0.11387433498257982,Exp1_to_Exp2
Exp2,0.0,89,455.5,0.23486363030439442,0.00025190434607958107,0.29452409785419975,1.0,0.0,0.0,0.11440577962608742,Exp1_to_Exp2
Exp2,0.0,90,460.5,0.2345568228037295,0.0002461189261359888,0.29217502532046147,1.0,0.0,0.0,0.11491979257577964,Exp1_to_Exp2
Exp2,0.0,91,465.5,0.23435177247834305,0.00025295980635848956,0.2904722435713626,1.0,0.0,0.0,0.11538543149233718,Exp1_to_Exp2
Exp2,0.0,92,470.5,0.23431363814709238,0.00024516918971152866,0.2898217783948429,1.0,0.0,0.0,0.11581488129799991,Exp1_to_Exp2
Exp2,0.0,93,475.5,0.23424339475078534,0.00024645392235568303,0.28900447600841905,1.0,0.0,0.0,0.11620943857393733,Exp1_to_Exp2
Exp2,0.0,94,480.5,0.23479976632424618,0.00024332047828507587,0.29202708065847427,1.0,0.0,0.0,0.11652819680871762,Exp1_to_Exp2
Exp2,0.0,95,485.5,0.235173079929196,0.00022745579930502145,0.294018312761239,1.0,0.0,0.0,0.116792711014632,Exp1_to_Exp2
Exp2,0.0,96,490.5,0.23518613064785132,0.00021689560241383696,0.29387742242589165,1.0,0.0,0.0,0.11702246585880238,Exp1_to_Exp2
Exp2,0.0,97,495.5,0.23520006240813177,0.00021469466745678483,0.293765568284288,1.0,0.0,0.0,0.11722011149704595,Exp1_to_Exp2
Exp2,0.0,98,500.5,0.2347453206434267,0.00021232997221573848,0.2908338462593981,1.0,0.0,0.0,0.11742574762894638,Exp1_to_Exp2
Exp2,0.0,99,505.5,0.23447774955251433,0.0002148843298120997,0.2890204845575618,1.0,0.0,0.0,0.11763112842771198,Exp1_to_Exp2
Exp2,0.0,100,510.5,0.2345382536897985,0.0002200984633481677,0.2891912283375432,1.0,0.0,0.0,0.11781819533789958,Exp1_to_Exp2
Exp2,0.0,101,515.5,0.23432996624865185,0.0002128578762934895,0.2884693270810692,1.0,0.0,0.0,0.11729761253454848,Exp1_to_Exp2
Exp2,0.0,102,520.5,0.23436744628201203,0.00021282017347151852,0.28906405418583925,1.0,0.0,0.0,0.1169278033327614,Exp1_to_Exp2
Exp2,0.0,103,525.5,0.2343794995427447,0.00021292020561415,0.28938962716870364,1.0,0.0,0.0,0.11667444988215041,Exp1_to_Exp2
Exp2,0.0,104,530.5,0.23411950811299476,0.0002071420709299212,0.2880111044407989,1.0,0.0,0.0,0.11649880216623956,Exp1_to_Exp2
Exp2,0.0,105,535.5,0.2339395421189453,0.0002055547241074299,0.28707716669294703,1.0,0.0,0.0,0.11635453129661744,Exp1_to_Exp2
Exp2,0.0,106,540.5,0.23351567260348993,0.00019749656585779204,0.2846627025786853,1.0,0.0,0.0,0.11623383647639636,Exp1_to_Exp2
Exp2,0.0,107,545.5,0.23301048776236258,0.00019241035000563622,0.28176655063994893,1.0,0.0,0.0,0.11610396558422095,Exp1_to_Exp2
Exp2,0.0,108,550.5,0.2330432907877261,0.0001919082372930333,0.2821335548737508,1.0,0.0,0.0,0.11593428161531268,Exp1_to_Exp2
Exp2,0.0,109,555.5,0.23308082246624362,0.00018700865397307392,0.28257975972078453,1.0,0.0,0.0,0.11571816642270413,Exp1_to_Exp2
Exp2,0.0,110,560.5,0.2332648477728155,0.0001891578838781133,0.28393480420559014,1.0,0.0,0.0,0.11546512454742477,Exp1_to_Exp2
Exp2,0.0,111,565.5,0.23337112883746192,0.0001921979653095228,0.28485634378375124,1.0,0.0,0.0,0.11517823127571072,Exp1_to_Exp2
Exp2,0.0,112,570.5,0.23331719723618616,0.00018894079004346423,0.2848437815753836,1.0,0.0,0.0,0.11487046105169003,Exp1_to_Exp2
Exp2,0.0,113,575.5,0.23285082765992837,0.0001916661640177736,0.2823589138458693,1.0,0.0,0.0,0.11455438594968319,Exp1_to_Exp2
Exp2,0.0,114,580.5,0.2326194323920788,0.0001824792172134734,0.28130642787164484,1.0,0.0,0.0,0.11422768726361447,Exp1_to_Exp2
Exp2,0.0,115,585.5,0.23258839197026238,0.00017394061127585928,0.2814936069649464,1.0,0.0,0.0,0.11386280424535196,Exp1_to_Exp2
Exp2,0.0,116,590.5,0.23239445228911837,0.00017081923875540112,0.2807497035951262,1.0,0.0,0.0,0.1134461909008287,Exp1_to_Exp2
Exp2,0.0,117,595.5,0.239431019582834,0.00018155151408992136,0.32355857085158013,1.0,0.0,0.0,0.11284599513133417,Exp1_to_Exp2
Exp2,0.0,118,600.5,0.24605128079638672,0.0002054776345332549,0.36393055502054916,1.0,0.0,0.0,0.1121716521232378,Exp1_to_Exp2
Exp2,0.0,119,605.5,0.25243305983306613,0.00022137727981527244,0.40290734081974255,1.0,0.0,0.0,0.11146964089883912,Exp1_to_Exp2
Exp2,0.0,120,610.5,0.2589566505233912,0.00023241721561345627,0.44268725235367423,1.0,0.0,0.0,0.1108202335710593,Exp1_to_Exp2
Exp2,0.0,121,615.5,0.2574983742690234,0.00022693454461007406,0.4345243707879016,1.0,0.0,0.0,0.11023894028162864,Exp1_to_Exp2
Exp2,0.0,122,620.5,0.2565597866092452,0.0002106788863372297,0.42945025502366085,1.0,0.0,0.0,0.10969778574547306,Exp1_to_Exp2
Exp2,0.0,123,625.5,0.25588538361302604,0.00019833119836678298,0.4258818619855429,1.0,0.0,0.0,0.10923210849424667,Exp1_to_Exp2
