direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,fast_score,slow_score,residual_persistent,adapter_frozen_fraction,event_status,emit_cycle,event_rank_score,residual_event_peak,residual_high_count,residual_high_fraction,slow_excess_area,event_duration,peak_slow_high,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,3402,2,Exp2,V351_ResidualRerank_WarningFreeze_Update5,3600.5,3610.5,3640.5,0.773187119782938,,,,0.7368421052631579,unmatched_candidate_event,3750.5,0.4858328188078762,1.2694898633168377,0,0.0,3.059362134768255,9,1,6492.5,6509.166666666667,6559.166666666667
Exp1_to_Exp2,Exp1,Exp2,3402,3,Exp2,V351_ResidualRerank_WarningFreeze_Update5,3905.5,3910.5,3915.5,0.862687610882308,,,,0.6923076923076923,unmatched_candidate_event,4025.5,0.6578258119299025,2.4093700418721165,0,0.0,1.2363592764832791,3,1,7000.833333333333,7009.166666666667,7017.5
Exp1_to_Exp2,Exp1,Exp2,3402,4,Exp2,V351_ResidualRerank_WarningFreeze_Update5,9310.5,9310.5,9340.5,0.866939455374401,,,,0.7058823529411765,unmatched_candidate_event,9450.5,0.6662284333900547,4.945907857561411,3,0.17647058823529413,3.8541601942215857,7,1,16009.166666666666,16009.166666666666,16059.166666666666
Exp1_to_Exp2,Exp1,Exp2,3402,5,Exp2,V351_ResidualRerank_WarningFreeze_Update5,9910.5,10530.5,11090.5,1.4349655884180275,,,,0.9838056680161943,unmatched_candidate_event,11200.5,1.983946047979834,7.181830306422767,52,0.21052631578947367,49.96161974158082,237,1,17009.166666666668,18042.5,18975.833333333332
Exp1_to_Exp2,Exp1,Exp2,3403,1,Exp2,V35_HardAND_Current,3030.5,3070.5,3100.5,4.560311471357404,9.141527705716378,8.774678150682567,14.303501524361456,1.0,unmatched_candidate_event,3100.5,4.560311471357404,,,,,,1,5542.5,5609.166666666667,5659.166666666667
Exp1_to_Exp2,Exp1,Exp2,3403,2,Exp2,V35_HardAND_Current,6925.5,6930.5,7000.5,4.882687238908609,9.013964005130415,9.37684255452315,13.15741969053069,1.0,unmatched_candidate_event,7000.5,4.882687238908609,,,,,,1,12034.166666666666,12042.5,12159.166666666666
Exp1_to_Exp2,Exp1,Exp2,3403,3,Exp2,V35_HardAND_Current,10220.5,10230.5,10265.5,3.0188831036801083,6.448790763861623,5.65207361092467,13.522006758035447,1.0,unmatched_candidate_event,10265.5,3.0188831036801083,,,,,,1,17525.833333333332,17542.5,17600.833333333332
Exp1_to_Exp2,Exp1,Exp2,3403,4,Exp2,V35_HardAND_Current,10520.5,10540.5,10600.5,4.848822741318847,10.375259839776444,9.352633264877609,15.263651875032018,1.0,unmatched_candidate_event,10600.5,4.848822741318847,,,,,,1,18025.833333333332,18059.166666666668,18159.166666666668
Exp1_to_Exp2,Exp1,Exp2,3403,1,Exp2,V351_EventGate_CurrentAdapt,3005.5,3315.5,3640.5,4.649759192494255,,,,0.8913043478260869,unmatched_candidate_event,3750.5,4.649759192494255,8.77832327552951,19,0.13768115942028986,186.3260006770185,128,1,5500.833333333333,6017.5,6559.166666666667
Exp1_to_Exp2,Exp1,Exp2,3403,2,Exp2,V351_EventGate_CurrentAdapt,6905.5,6930.5,7615.5,4.814080962018323,,,,0.9477124183006536,unmatched_candidate_event,7725.5,4.814080962018323,9.232002855451007,36,0.23529411764705882,179.67271905326456,143,1,12000.833333333334,12042.5,13184.166666666666
