direction,setting,seed,dataset,from_stage,to_stage,boundary_actual_cycle,boundary_peak_score,boundary_score_percentile,boundary_event_rank
Exp2_to_Exp1,V35_HardAND_Current,3404,Exp1,2,3,24000.0,1.912872145141369,0.956158896183376,4.0
Exp2_to_Exp1,V35_HardAND_Current,3404,Exp1,3,4,32000.0,0.7532041894444914,0.919995549126516,
Exp2_to_Exp1,V35_HardAND_Current,3404,Exp1,4,5,40000.0,1.9570114177375637,0.9572716145543563,3.0
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3404,Exp1,1,2,8000.0,6.017464842370465,1.0,1.0
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3404,Exp1,2,3,24000.0,0.5309724947967635,0.9550739361101704,
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3404,Exp1,3,4,32000.0,0.2595674693584442,0.9366745682356925,
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3404,Exp1,4,5,40000.0,0.20469269156455994,0.3313015012981149,
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3404,Exp1,1,2,8000.0,5.5069707394478575,1.0,1.0
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3404,Exp1,2,3,24000.0,0.4815113616700071,0.9540580200925612,
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3404,Exp1,3,4,32000.0,0.259820818901062,0.9364488091206683,
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3404,Exp1,4,5,40000.0,0.20584726333618164,0.3509425443052263,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3404,Exp1,1,2,8000.0,2.003541076431117,0.9996613613274636,2.0
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3404,Exp1,2,3,24000.0,0.23148024082183838,0.8262783609888249,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3404,Exp1,3,4,32000.0,0.25029972195625305,0.9615080708883621,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3404,Exp1,4,5,40000.0,0.21075761318206787,0.35658652218083303,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3404,Exp1,1,2,8000.0,2.003541076431117,0.9996613613274636,1.0
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3404,Exp1,2,3,24000.0,0.23148024082183838,0.8262783609888249,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3404,Exp1,3,4,32000.0,0.25029972195625305,0.9615080708883621,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3404,Exp1,4,5,40000.0,0.21075761318206787,0.35658652218083303,
Exp2_to_Exp1,V35_HardAND_Current,3405,Exp1,1,2,8000.0,19.434774858485067,1.0,1.0
Exp2_to_Exp1,V35_HardAND_Current,3405,Exp1,2,3,24000.0,1.7591541970367257,0.8877267163680872,
Exp2_to_Exp1,V35_HardAND_Current,3405,Exp1,3,4,32000.0,1.9355749552462793,0.8929564927116946,5.0
Exp2_to_Exp1,V35_HardAND_Current,3405,Exp1,4,5,40000.0,4.031061076589288,0.9411371981751419,3.0
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3405,Exp1,1,2,8000.0,9.464341671922664,1.0,1.0
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3405,Exp1,2,3,24000.0,0.26207542419433594,0.9458178123941754,
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3405,Exp1,3,4,32000.0,0.26325827836990356,0.9460435715091997,
Exp2_to_Exp1,V351_EventGate_CurrentAdapt,3405,Exp1,4,5,40000.0,0.7703806778202186,0.9603792753132407,
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3405,Exp1,1,2,8000.0,9.628507386827568,1.0,1.0
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3405,Exp1,2,3,24000.0,0.26297515630722046,0.9390450389434474,
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3405,Exp1,3,4,32000.0,0.26277580857276917,0.9389321593859352,
Exp2_to_Exp1,V351_EventGate_WarningFreeze,3405,Exp1,4,5,40000.0,0.610342060926531,0.9578959250479738,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3405,Exp1,1,2,8000.0,3.352311447772749,1.0,1.0
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3405,Exp1,2,3,24000.0,0.2636944353580475,0.9634270233660684,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3405,Exp1,3,4,32000.0,0.26010462641716003,0.9212100688565301,
Exp2_to_Exp1,V351_EventGate_WarningFreeze_Update5,3405,Exp1,4,5,40000.0,0.2481267899274826,0.34552432554464385,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3405,Exp1,1,2,8000.0,3.352311447772749,1.0,1.0
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3405,Exp1,2,3,24000.0,0.2636944353580475,0.9634270233660684,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3405,Exp1,3,4,32000.0,0.26010462641716003,0.9212100688565301,
Exp2_to_Exp1,V351_ResidualRerank_WarningFreeze_Update5,3405,Exp1,4,5,40000.0,0.2481267899274826,0.34552432554464385,
