direction,dataset,entry_cycle,window_index,center_cycle,progression_uncertainty,prediction_ensemble_uncertainty,adapter_support_uncertainty,primitive_match_uncertainty,private_state_support_uncertainty,change_point_uncertainty,entry_prior_uncertainty,ood_uncertainty,initial_match_quality
Exp2_to_Exp1,Exp1,0.0,8478,42400.5,1.4569121363498587,0.0030447962604972924,0.0,1.0,1.0,0.009148893880740302,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8479,42405.5,1.456911956295248,0.0031169752725976117,0.0,1.0,1.0,0.009095760616718667,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8480,42410.5,1.4569115671367863,0.0030714953067618174,0.0,1.0,1.0,0.009048777461479144,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8481,42415.5,1.4569114011845183,0.003056182386773943,0.0,1.0,1.0,0.009027217215484558,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8482,42420.5,1.456912117118748,0.003001899414429059,0.0,1.0,1.0,0.009160000400537495,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8483,42425.5,1.4569110013396522,0.002934977269129019,0.0,1.0,1.0,0.009002873593355568,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8484,42430.5,1.456924036690303,0.0031019814789594096,0.0,1.0,1.0,0.009083759671553587,0.35,0.005959170000951734,0.0
Exp2_to_Exp1,Exp1,0.0,8485,42435.5,1.487108174815239,0.0026719189732578794,0.0,1.0,1.0,0.009646601128527135,0.35,0.298145145085374,0.0
Exp2_to_Exp1,Exp1,0.0,8486,42440.5,1.4665591000470435,0.0028547972211108567,0.0,1.0,1.0,0.009125427468508243,0.35,0.16794097366973268,0.0
Exp2_to_Exp1,Exp1,0.0,8487,42445.5,1.4769929291433512,0.0028107930459539744,0.0,1.0,1.0,0.009041368429694708,0.35,0.2427312625906016,0.0
Exp2_to_Exp1,Exp1,0.0,8488,42450.5,1.505062206285542,0.002688066055064237,0.0,1.0,1.0,0.008962517435641141,0.35,0.3776568447297137,0.0
Exp2_to_Exp1,Exp1,0.0,8489,42455.5,1.4657722521302936,0.0029485678217999953,0.0,1.0,1.0,0.009624663278265255,0.35,0.1608942724887775,0.0
Exp2_to_Exp1,Exp1,0.0,8490,42460.5,1.474650103530712,0.002965460410265125,0.0,1.0,1.0,0.009059037803973458,0.35,0.22803961875463882,0.0
Exp2_to_Exp1,Exp1,0.0,8491,42465.5,1.4702938023935137,0.0030051735728433126,0.0,1.0,1.0,0.009007923646669306,0.35,0.19792344883855817,0.0
Exp2_to_Exp1,Exp1,0.0,8492,42470.5,1.4708518742485805,0.002945962399162426,0.0,1.0,1.0,0.00904178954769417,0.35,0.2020267391408368,0.0
Exp2_to_Exp1,Exp1,0.0,8493,42475.5,1.4711718290512046,0.002826399040459385,0.0,1.0,1.0,0.009033196984924576,0.35,0.20434520648785096,0.0
Exp2_to_Exp1,Exp1,0.0,8494,42480.5,1.4569111474252086,0.0030431032899231455,0.0,1.0,1.0,0.008990606998665994,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8495,42485.5,1.4569115523873724,0.003033586599733356,0.0,1.0,1.0,0.009059184959194486,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8496,42490.5,1.4569107132008503,0.00303643886420209,0.0,1.0,1.0,0.008922235058221848,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8497,42495.5,1.4569104981270429,0.003135106950620183,0.0,1.0,1.0,0.008852720327467568,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8498,42500.5,1.4569105637133866,0.003040348958525651,0.0,1.0,1.0,0.008896456478172892,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8499,42505.5,1.4569104450897086,0.0031304720522148176,0.0,1.0,1.0,0.008845629215794711,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8500,42510.5,1.4569109742717399,0.003228672923180726,0.0,1.0,1.0,0.00889733806179182,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8501,42515.5,1.456910201117461,0.003080056949770881,0.0,1.0,1.0,0.008823115623581637,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8502,42520.5,1.4569099213799641,0.0030880722345790505,0.0,1.0,1.0,0.008773985710469374,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8503,42525.5,1.4569095990017409,0.0029515681008817946,0.0,1.0,1.0,0.008767434582538442,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8504,42530.5,1.456909939160597,0.0029551896768482753,0.0,1.0,1.0,0.008822566458158697,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8505,42535.5,1.4643621811681216,0.003353613418083625,0.0,1.0,1.0,0.008854063745850549,0.35,0.1475362886468409,0.0
Exp2_to_Exp1,Exp1,0.0,8506,42540.5,1.46183744539377,0.003412856547007967,0.0,1.0,1.0,0.008751160344873178,0.35,0.11991866559543918,0.0
Exp2_to_Exp1,Exp1,0.0,8507,42545.5,1.491777989169516,0.003027707580164644,0.0,1.0,1.0,0.010555971345659084,0.35,0.3205947183382829,0.0
Exp2_to_Exp1,Exp1,0.0,8508,42550.5,1.4651363355385532,0.0031248310559310924,0.0,1.0,1.0,0.009230636197646294,0.35,0.15501455577331594,0.0
Exp2_to_Exp1,Exp1,0.0,8509,42555.5,1.4686396200238214,0.002711273609677387,0.0,1.0,1.0,0.008828472680571032,0.35,0.18524859127468804,0.0
Exp2_to_Exp1,Exp1,0.0,8510,42560.5,1.470130505551839,0.0028333394384574668,0.0,1.0,1.0,0.008864154208332862,0.35,0.19671579070299053,0.0
Exp2_to_Exp1,Exp1,0.0,8511,42565.5,1.4835473586156425,0.003098922108917193,0.0,1.0,1.0,0.010261514336439346,0.35,0.27981755352503423,0.0
Exp2_to_Exp1,Exp1,0.0,8512,42570.5,1.4826630943841523,0.0032214808534462287,0.0,1.0,1.0,0.009136230567362182,0.35,0.2751290657144767,0.0
Exp2_to_Exp1,Exp1,0.0,8513,42575.5,1.4888505931942435,0.003303027944061618,0.0,1.0,1.0,0.008806521733222768,0.35,0.306737060095799,0.0
Exp2_to_Exp1,Exp1,0.0,8514,42580.5,1.4868962746098464,0.0032738978986183195,0.0,1.0,1.0,0.008786988640741143,0.35,0.2971070545642048,0.0
Exp2_to_Exp1,Exp1,0.0,8515,42585.5,1.4897407939942218,0.003155237106327432,0.0,1.0,1.0,0.008717034724892865,0.35,0.31103326361490935,0.0
Exp2_to_Exp1,Exp1,0.0,8516,42590.5,1.4606430116794806,0.0030554546748320275,0.0,1.0,1.0,0.008725604962817568,0.35,0.10436731089218905,0.0
Exp2_to_Exp1,Exp1,0.0,8517,42595.5,1.456909711398958,0.0029552207742728617,0.0,1.0,1.0,0.008784864186206413,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8518,42600.5,1.4569098887223915,0.0028889479591453094,0.0,1.0,1.0,0.00883616640747703,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8519,42605.5,1.4569090650612677,0.0028499109312245343,0.0,1.0,1.0,0.008712167662590814,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8520,42610.5,1.456908949527261,0.0029514356933679365,0.0,1.0,1.0,0.008658882143489786,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8521,42615.5,1.4569097091065621,0.0031234581139155232,0.0,1.0,1.0,0.00872608150190282,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8522,42620.5,1.4569092788606641,0.0032125432963920585,0.0,1.0,1.0,0.008621275768048125,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8523,42625.5,1.4682110657747631,0.0033585934386345185,0.0,1.0,1.0,0.008608164001471415,0.35,0.18181956172563826,0.0
Exp2_to_Exp1,Exp1,0.0,8524,42630.5,1.465243012271538,0.003366547380066931,0.0,1.0,1.0,0.00860792377737233,0.35,0.15605016827146315,0.0
Exp2_to_Exp1,Exp1,0.0,8525,42635.5,1.4619122827276974,0.003257631452012381,0.0,1.0,1.0,0.00861835108034099,0.35,0.12084135985698545,0.0
Exp2_to_Exp1,Exp1,0.0,8526,42640.5,1.4575691376309343,0.0031206160962962007,0.0,1.0,1.0,0.00856451918183425,0.35,0.043871422823393104,0.0
Exp2_to_Exp1,Exp1,0.0,8527,42645.5,1.4608309459450635,0.0031430044773886117,0.0,1.0,1.0,0.00856629973400123,0.35,0.10697566387955353,0.0
Exp2_to_Exp1,Exp1,0.0,8528,42650.5,1.4875205498530768,0.0026787186185131848,0.0,1.0,1.0,0.009897481359309245,0.35,0.30018702597631486,0.0
Exp2_to_Exp1,Exp1,0.0,8529,42655.5,1.4686327698717687,0.002859999151290188,0.0,1.0,1.0,0.008788415903477046,0.35,0.18519394399381897,0.0
Exp2_to_Exp1,Exp1,0.0,8530,42660.5,1.4627434088002191,0.0028896549676772493,0.0,1.0,1.0,0.008632352562902353,0.35,0.13051977770392872,0.0
Exp2_to_Exp1,Exp1,0.0,8531,42665.5,1.4603451832677472,0.002669633889926973,0.0,1.0,1.0,0.008624979983246888,0.35,0.1001325974320683,0.0
Exp2_to_Exp1,Exp1,0.0,8532,42670.5,1.4691719635338263,0.0029217026604282646,0.0,1.0,1.0,0.10760459465398807,0.35,0.15613767417491978,0.0
Exp2_to_Exp1,Exp1,0.0,8533,42675.5,1.474625733299457,0.0029555032011973647,0.0,1.0,1.0,0.09258869051870691,0.35,0.20842181435209892,0.0
Exp2_to_Exp1,Exp1,0.0,8534,42680.5,1.4892593503791745,0.0030885807882302468,0.0,1.0,1.0,0.08811791805138566,0.35,0.29600524637040554,0.0
Exp2_to_Exp1,Exp1,0.0,8535,42685.5,1.5083410836653177,0.00323696046546843,0.0,1.0,1.0,0.09315483375596496,0.35,0.3793474972996503,0.0
Exp2_to_Exp1,Exp1,0.0,8536,42690.5,1.5261719187610956,0.0032832635688069887,0.0,1.0,1.0,0.09941642063844132,0.35,0.4436285846321253,0.0
Exp2_to_Exp1,Exp1,0.0,8537,42695.5,1.4682192697069352,0.003320994139996901,0.0,1.0,1.0,0.10600697938924021,0.35,0.14805173169354324,0.0
Exp2_to_Exp1,Exp1,0.0,8538,42700.5,1.46335809674505,0.0033575666847301356,0.0,1.0,1.0,0.11089540626525524,0.35,0.08128871338947936,0.0
Exp2_to_Exp1,Exp1,0.0,8539,42705.5,1.462284345241899,0.0031662449250051085,0.0,1.0,1.0,0.11653585251833695,0.35,0.04674266049796971,0.0
Exp2_to_Exp1,Exp1,0.0,8540,42710.5,1.4623127172314483,0.003088086174707972,0.0,1.0,1.0,0.1215718577298427,0.35,0.03269908421828127,0.0
Exp2_to_Exp1,Exp1,0.0,8541,42715.5,1.4682591873912352,0.0031018439516363873,0.0,1.0,1.0,0.1261181021489929,0.35,0.13179394611743764,0.0
Exp2_to_Exp1,Exp1,0.0,8542,42720.5,1.4655900076036086,0.0029977694733643867,0.0,1.0,1.0,0.12776360502525996,0.35,0.09550677984666482,0.0
Exp2_to_Exp1,Exp1,0.0,8543,42725.5,1.462980463290498,0.0029974539955296376,0.0,1.0,1.0,0.1321348028378225,0.35,0.018526875565886874,0.0
Exp2_to_Exp1,Exp1,0.0,8544,42730.5,1.4631438586518761,0.003125292153925231,0.0,1.0,1.0,0.13520422944440108,0.35,0.0,0.0
Exp2_to_Exp1,Exp1,0.0,8545,42735.5,1.463451311134546,0.003124990238362649,0.0,1.0,1.0,0.13849178494564912,0.35,0.0,0.0
