direction,entry_cycle,latest_entry_cycle,common_window_rank,center_cycle,common_arrived_windows,progression_increment_abs_difference,progression_score_abs_difference,uncertainty,latest_uncertainty,uncertainty_difference_to_latest,state_match_available,state_match_quality,latest_state_match_quality,state_match_quality_difference
Exp1_to_Exp2,0.0,9000.0,36,9175.5,200,0.3,0.07338237296571748,1.500941460175518,1.6462637035125856,-0.14532224333706756,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,37,9180.5,200,0.17035923118270505,0.07338237296571748,1.4788634464530603,1.6516796914293967,-0.1728162449763364,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,38,9185.5,200,0.24462318084370985,0.07338237296571748,1.4910982135399689,1.656965454771777,-0.16586724123180807,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,39,9190.5,200,0.2760241668024682,0.07338237296571748,1.4943807531870477,1.6653200732448328,-0.17093932005778512,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,40,9195.5,200,0.27870807218283145,0.07338237296571748,1.492716183237344,1.6710847655387824,-0.17836858230143848,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,41,9200.5,200,0.31442991199667436,0.059273959527661346,1.4915499835171715,1.6684374887869113,-0.17688750526973984,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,42,9205.5,200,0.33030433208893206,0.04935131089990075,1.4886336963125877,1.6564293016568707,-0.16779560534428306,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,43,9210.5,200,0.30463709514282594,0.04315791740801622,1.4865180132509908,1.640044561668017,-0.1535265484170263,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,44,9215.5,200,0.287344657930335,0.038748847479760595,1.4846560584900914,1.6262470735784047,-0.1415910150883133,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,45,9220.5,200,0.2463788030958238,0.037660581281893535,1.4818288715431749,1.6156424361555344,-0.1338135646123595,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,46,9225.5,200,0.23590131752118065,0.03629052873780114,1.4791786083404057,1.608071361910207,-0.12889275356980123,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,47,9230.5,200,0.2036728999474727,0.03629052873780114,1.4756755098363752,1.6023097629960843,-0.1266342531597091,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,48,9235.5,200,0.19192995916363267,0.03629052873780114,1.4736911209872678,1.5975877111693522,-0.12389659018208432,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,49,9240.5,200,0.1814706272272282,0.03629052873780114,1.4720072654547518,1.593441465209492,-0.12143419975474012,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,50,9245.5,200,0.11164859687385162,0.03629052873780114,1.4633166483682998,1.5896288097305291,-0.12631216136222934,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,51,9250.5,200,0.0,0.03629052873780114,1.4586805344448333,1.5860469151534833,-0.12736638070865003,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,52,9255.5,200,0.022641115009952986,0.03399066262879191,1.457920864569738,1.8275512367203957,-0.36963037215065775,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,53,9260.5,200,0.0,0.03399066262879191,1.45787734847076,1.794800591018861,-0.336923242548101,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,54,9265.5,200,0.3,0.02518090220845426,1.4578752091251852,1.8038675272635298,-0.34599231813834463,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,55,9270.5,200,0.3,0.01865447116922736,1.4578743445688997,1.8085875605237811,-0.35071321595488136,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,56,9275.5,200,0.3,0.013819572139345482,1.4578629949769448,1.8102634883212592,-0.35240049334431434,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,57,9280.5,200,0.3,0.010237790842852479,1.4578505020658794,1.8140008200151414,-0.356150317949262,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,58,9285.5,200,0.2725981718703786,0.007006571199275391,1.4578352085286796,1.8042037037578267,-0.34636849522914703,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,59,9290.5,200,0.3,0.0051905956089269845,1.4578235551495393,1.8072226991933917,-0.3493991440438524,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,60,9295.5,200,0.3,0.003845287803283637,1.5179035079958383,1.8497174449722849,-0.33181393697644657,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,61,9300.5,200,0.3,0.002848659268437692,1.6743188016474329,1.8467190432579117,-0.17240024161047884,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,62,9305.5,200,0.0,0.002110338690572533,1.7673578578279712,1.8440850435521934,-0.07672718572422221,True,0.0,0.0,0.0
Exp1_to_Exp2,0.0,9000.0,63,9310.5,200,0.0,0.001217559507364463,1.767404754487834,1.8416265519533128,-0.07422179746547886,True,0.0,0.0,0.0
