direction,dataset,entry_cycle,window_index,center_cycle,activity_score,progression_increment,relative_progression_score,cumulative_progression,progression_uncertainty,prediction_ensemble_uncertainty,adapter_support_uncertainty,primitive_match_uncertainty,private_state_support_uncertainty,change_point_uncertainty,entry_prior_uncertainty,ood_uncertainty,initial_progression_prior_mean,initial_progression_prior_std,initial_match_quality,trend_evidence,persistent_prediction_anomaly_evidence,bocpd_confirmed_transition_evidence,persistent_novel_segment_evidence,state_id_input_count,cycle_used_as_model_feature,rolling_z_used
Exp1_to_Exp2,Exp2,0.0,25,135.5,0.6572996512088137,0.16862348251741507,0.896935246392534,2.272397812485706,1.6644710698426943,0.0,0.8046875,1.0,1.0,0.021023075108874762,0.35,0.0,0.5,0.35,0.0,0.6744939300696603,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,26,140.5,0.5051536755203253,0.13693960473965322,0.9101251756411418,2.4093374172253594,1.6607014138483267,0.0,0.796875,1.0,1.0,0.020479754218034506,0.35,0.0,0.5,0.35,0.0,0.5477584189586129,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,27,145.5,0.282261005764837,0.10061770415201476,0.9187281134706259,2.509955121377374,1.6569629928392964,0.0,0.7890625,1.0,1.0,0.0201675663556165,0.35,0.0,0.5,0.35,0.0,0.40247081660805906,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,28,150.5,0.3027395102788874,0.05814905918258953,0.9233192193748607,2.568104180559964,1.6532511872439408,0.0,0.78125,1.0,1.0,0.019695827565746723,0.35,0.0,0.5,0.35,0.0,0.23259623673035812,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,29,155.5,0.31468322061547943,0.06679106372520091,0.9282735172259744,2.6348952442851648,1.64956897379133,0.0,0.7734375,1.0,1.0,0.019293337936472286,0.35,0.0,0.5,0.35,0.0,0.26716425490080364,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,30,160.5,0.1392676736051547,0.06267680456990408,0.9326311173117761,2.697572048855069,1.6459186166983346,0.0,0.765625,1.0,1.0,0.019142940452267568,0.35,0.0,0.5,0.35,0.0,0.25070721827961634,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,31,165.5,0.4274042354445994,0.04592194160285034,0.9356548676049694,2.743493990457919,1.6422937789629353,0.0,0.7578125,1.0,1.0,0.01868344893505744,0.35,0.0,0.5,0.35,0.0,0.18368776641140136,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,32,170.5,0.3436365599106904,0.062012627823341486,0.9395238749002498,2.8055066182812607,1.6387006331977831,0.0009043987575853281,0.75,1.0,1.0,0.018410521603220344,0.35,0.0,0.5,0.35,0.0,0.24805051129336594,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,33,175.5,0.4306467611138936,0.0817772441322166,0.9442726295587242,2.887283862413477,1.6351359160192356,0.0007148577786709469,0.7421875,1.0,1.0,0.01807395026470806,0.35,0.0,0.5,0.35,0.0,0.3271089765288664,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,34,180.5,0.5776618648409189,0.11096227870241637,0.9501255355221462,2.9982461411158936,1.6316017797962283,0.00048765690603926585,0.734375,1.0,1.0,0.01781823223447471,0.35,0.0,0.5,0.35,0.0,0.4438491148096655,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,35,185.5,0.45152455237609407,0.10916417770013337,0.9552833927187002,3.107410318816027,1.6280976241425402,0.0008532658001935391,0.7265625,1.0,1.0,0.017552187037748603,0.35,0.0,0.5,0.35,0.0,0.4366567108005335,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,36,190.5,0.4848284545369509,0.0658699683370641,0.95813396022072,3.173280287153091,1.6246486421927955,0.008748447584234867,0.71875,1.0,1.0,0.01746747674278204,0.35,0.0,0.5,0.35,0.0,0.2634798733482564,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,37,195.5,0.4493274141647994,0.0,0.95813396022072,3.173280287153091,1.6212055073941016,0.008811381521911563,0.7109375,1.0,1.0,0.017248995750241664,0.35,0.0,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,38,200.5,0.6915822732757376,0.0,0.95813396022072,3.173280287153091,1.6177935721385317,0.009209896349676184,0.703125,1.0,1.0,0.016924958994901013,0.35,0.0,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,39,205.5,0.6299046780200558,0.0,0.95813396022072,3.173280287153091,1.6144136435845602,0.009618256980154694,0.6953125,1.0,1.0,0.01671613198048809,0.35,0.0,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,40,210.5,0.946409898790719,0.0,0.95813396022072,3.173280287153091,1.6110596606153251,0.009205179445483259,0.6875,1.0,1.0,0.01649984040355052,0.35,0.0,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0,False,False
