direction,setting,seed,tolerance_actual_cycles,boundary_hit_rate,mean_absolute_detection_delay,median_absolute_detection_delay,event_level_precision,event_level_recall,event_level_f1,candidate_event_count,unmatched_candidate_count
Exp2_to_Exp1,TargetSupervisedUpperBound,3404,1000.0,0.75,55.92988584677065,53.84615384615245,0.07894736842105263,0.75,0.14285714285714285,38,35
Exp2_to_Exp1,DirectTransfer,3405,100.0,0.25,47.92899408283847,47.92899408283847,1.0,0.25,0.4,1,0
Exp2_to_Exp1,DirectTransfer,3405,250.0,0.25,47.92899408283847,47.92899408283847,1.0,0.25,0.4,1,0
Exp2_to_Exp1,DirectTransfer,3405,500.0,0.25,47.92899408283847,47.92899408283847,1.0,0.25,0.4,1,0
Exp2_to_Exp1,DirectTransfer,3405,1000.0,0.25,47.92899408283847,47.92899408283847,1.0,0.25,0.4,1,0
Exp2_to_Exp1,CalibrationOnly,3405,100.0,0.5,65.92037608991632,65.92037608991632,0.2,0.5,0.28571428571428575,10,8
Exp2_to_Exp1,CalibrationOnly,3405,250.0,0.5,65.92037608991632,65.92037608991632,0.2,0.5,0.28571428571428575,10,8
Exp2_to_Exp1,CalibrationOnly,3405,500.0,0.75,135.30069346932729,72.07743857036621,0.3,0.75,0.4285714285714285,10,7
Exp2_to_Exp1,CalibrationOnly,3405,1000.0,0.75,135.30069346932729,72.07743857036621,0.3,0.75,0.4285714285714285,10,7
Exp2_to_Exp1,OnlineAdaptation,3405,100.0,1.0,65.78373969391669,71.81103054515188,0.125,1.0,0.2222222222222222,32,28
Exp2_to_Exp1,OnlineAdaptation,3405,250.0,1.0,65.78373969391669,71.81103054515188,0.125,1.0,0.2222222222222222,32,28
Exp2_to_Exp1,OnlineAdaptation,3405,500.0,1.0,65.78373969391669,71.81103054515188,0.125,1.0,0.2222222222222222,32,28
Exp2_to_Exp1,OnlineAdaptation,3405,1000.0,1.0,65.78373969391669,71.81103054515188,0.125,1.0,0.2222222222222222,32,28
Exp2_to_Exp1,TargetSupervisedUpperBound,3405,100.0,0.75,67.75558861608442,72.07743857036621,0.07142857142857142,0.75,0.13043478260869565,42,39
Exp2_to_Exp1,TargetSupervisedUpperBound,3405,250.0,0.75,67.75558861608442,72.07743857036621,0.07142857142857142,0.75,0.13043478260869565,42,39
Exp2_to_Exp1,TargetSupervisedUpperBound,3405,500.0,0.75,67.75558861608442,72.07743857036621,0.07142857142857142,0.75,0.13043478260869565,42,39
Exp2_to_Exp1,TargetSupervisedUpperBound,3405,1000.0,0.75,67.75558861608442,72.07743857036621,0.07142857142857142,0.75,0.13043478260869565,42,39
