direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,short_score,medium_score,long_score,source_probability,adapter_frozen_fraction,event_status,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,3402,2,Exp2,OnlineAdaptation,1505.5,1530.5,1885.5,4.757872248840624,2.530202019011363,2.180135891257486,2.477760315507012,0.29815372824668884,1.0,unmatched_candidate_event,3004.6602862849536,3046.2631491344873,3637.0238015978694
Exp1_to_Exp2,Exp1,Exp2,3402,3,Exp2,OnlineAdaptation,2100.5,2160.5,2440.5,2.313132554484332,0.6265769554448066,1.264776834074418,2.664351941962746,0.45993736386299133,0.927536231884058,unmatched_candidate_event,3994.8084221038616,4094.655292942743,4560.607356857523
Exp1_to_Exp2,Exp1,Exp2,3402,4,Exp2,OnlineAdaptation,3010.5,3035.5,3120.5,2.8148687741277776,1.9421431074492213,1.478653451562254,1.988475800784293,0.44321611523628235,0.8695652173913043,unmatched_candidate_event,5509.166666666667,5550.833333333333,5692.5
Exp1_to_Exp2,Exp1,Exp2,3402,5,Exp2,OnlineAdaptation,3295.5,3310.5,3355.5,2.0024547298572744,0.7579471780564557,2.030628246676755,2.1743615473856024,0.4502217769622803,1.0,unmatched_candidate_event,5984.166666666667,6009.166666666667,6084.166666666667
Exp1_to_Exp2,Exp1,Exp2,3402,6,Exp2,OnlineAdaptation,6910.5,6970.5,7020.5,1.9678399730236187,1.0112917242375532,0.9948005221957238,1.049131453250081,0.3971082270145416,1.0,unmatched_candidate_event,12009.166666666666,12109.166666666666,12192.5
Exp1_to_Exp2,Exp1,Exp2,3402,7,Exp2,OnlineAdaptation,8730.5,8770.5,8770.5,1.225627511631847,0.6865010801492005,0.7424531272298948,0.5211142848345215,0.48610201478004456,0.6666666666666666,unmatched_candidate_event,15042.5,15109.166666666666,15109.166666666666
Exp1_to_Exp2,Exp1,Exp2,3402,8,Exp2,OnlineAdaptation,9315.5,9325.5,9330.5,1.1725283078672302,0.5871861777087269,0.49684851784217743,0.8685723956970409,0.4806094765663147,1.0,unmatched_candidate_event,16017.5,16034.166666666666,16042.5
Exp1_to_Exp2,Exp1,Exp2,3402,9,Exp2,OnlineAdaptation,9910.5,9930.5,9985.5,1.9204331736726123,0.9035145805173533,0.9676703702712914,0.8333332907607166,0.4749465584754944,1.0,unmatched_candidate_event,17009.166666666668,17042.5,17134.166666666668
Exp1_to_Exp2,Exp1,Exp2,3402,10,Exp2,OnlineAdaptation,10230.5,10230.5,10270.5,1.3613271811053231,0.7661657822087498,0.7985929655837483,0.5271183478943433,0.46023795008659363,1.0,unmatched_candidate_event,17542.5,17542.5,17609.166666666668
Exp1_to_Exp2,Exp1,Exp2,3402,11,Exp2,OnlineAdaptation,10510.5,10530.5,10580.5,2.4471365199989776,1.0501885027432165,1.1595548114582033,1.1584742604718798,0.45624613761901855,1.0,unmatched_candidate_event,18009.166666666668,18042.5,18125.833333333332
