dataset,window_id,window_index,start_cycle,end_cycle,center_cycle,forecast_mae,persistence_mae,forecast_activity,shared_predictor_observed_updates,causal_warmup,shared_z0,shared_z1,shared_z2,shared_z3,shared_z4,shared_z5
Exp1,112,112,561.0,580.0,570.5,0.06423436343641516,0.07324926712513978,0.09027046132055662,222,0,-0.02974210791249085,0.032075748622913944,-0.18748936044235698,-0.1855147618344927,0.2783385159427605,0.3205193653096581
Exp1,113,113,566.0,585.0,575.5,0.0583362920935701,0.05055662077497743,0.07195850102875442,224,0,-0.010165860544553727,-0.0994231360402598,-0.21702347676743494,-0.14136731561077506,0.21928542060588854,-0.42335509423022666
Exp1,114,114,571.0,590.0,580.5,0.037515007412863705,0.03168659827830417,0.03764472366033487,226,0,-0.007522516778056217,0.06696586985673308,-0.1509641765794048,-0.13613823437973932,0.1761379663474904,0.3613362423448472
Exp1,115,115,576.0,595.0,585.5,0.02997466217951725,0.031024649150399455,0.03520688276825392,228,0,-0.00393702965701645,-0.03616575177838073,-0.08118864653327545,-0.12255882920989977,0.10839514024616813,0.3259110595022448
Exp1,116,116,581.0,600.0,590.5,0.031104556283964746,0.024905955504598738,0.02878238864595605,230,0,-0.013225999279089715,0.001992138908360516,-0.012499744765579836,-0.1237746613051528,0.10283700982278748,0.2599052529509289
Exp1,117,117,586.0,605.0,595.5,0.04365221303051157,0.048705929078053524,0.08250013007854218,232,0,-0.018790863881273833,0.01679615709535446,-0.02576694590490733,-0.11206394005991352,0.08136610675719043,0.2708422946896474
Exp1,118,118,591.0,610.0,600.5,0.07795921969318953,0.07246072673649383,0.16886515266066848,234,0,-0.0233659636822477,-0.05844694653180666,-0.05527263992144588,-0.0889088266835944,0.0680894102426631,0.3299967746796007
Exp1,119,119,596.0,615.0,605.5,0.09950906977279689,0.10582597492016924,0.12940312999697612,236,0,-0.027174071844357946,0.02003846478939681,-0.025811835008506916,0.12286628159695281,0.10443366988676563,0.22871156790840466
Exp1,120,120,601.0,620.0,610.5,0.04184952538111561,0.03753094225925788,0.045865587306265436,238,0,-0.007592555789078628,-0.004398374878658552,0.03484356215393834,0.13502063607518583,0.06565926336436344,0.11732769003140311
Exp1,121,121,606.0,625.0,615.5,0.11205709900147902,0.08932181251625802,0.17954116491353952,240,0,-0.00801914074463271,0.03072641966358356,0.009697301105813834,0.16109723119598876,0.03223364689813477,0.06504809826493586
Exp1,122,122,611.0,630.0,620.5,0.08996234042606416,0.07041129569346447,0.12637726474432687,242,0,-0.001974211344401129,-0.0575226859995917,-0.008372013573663342,0.17082828718038334,-0.049526512705901686,-0.06639426611961034
Exp1,123,123,616.0,635.0,625.5,0.16678398843199055,0.15556548265924974,0.19330283523546182,244,0,-0.02323889430988036,0.028859545780242205,-0.10421685874976258,0.08382870278552713,-0.04377901818352899,0.02608242536376302
Exp1,124,124,621.0,640.0,630.5,0.14117473452138748,0.09886444601852097,0.21278981330886784,246,0,-0.033680391900795796,0.04822354098730408,-0.16840124141681545,0.04844018497257262,-0.028491771488197908,-0.11550216490795068
