due_observation_cycle,protocol_id,output_name,horizon_cycles,baseline_model,instantaneous_regret,cumulative_regret
14060.5,A_Exp1_to_Exp2,V50_norm,100,Local_Linear,1.836678229066746,555.7457616693368
2260.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,5.2175595062294775,16.19563151952954
3510.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,-1.905730146705201,61.28686303150937
4760.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,4.421196795380864,132.8198199016934
6010.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,5.296277017614303,231.0241441930323
7260.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,-3.855837851996876,299.252908768625
8510.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,-1.2251462053433595,383.3671836256936
9760.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,7.988298082789835,438.9619910341605
11010.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,0.4955568072492617,389.0669058656662
12260.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,0.693834277994621,417.0017322359861
13510.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,-0.2639718802132985,431.2032613924181
14060.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,1.838056503867143,438.2840083858768
2260.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,0.0,0.0
3510.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,0.0,0.0
4760.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,0.0,0.0
6010.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,0.0,0.0
7260.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,0.0,0.0
8510.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,0.0,0.0
9760.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,0.0,0.0
11010.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,0.0,0.0
12260.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,-2.904551263671405,-38.46682161313963
13510.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,-5.9548492434020375,-73.57522095838199
14060.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,-2.5099718300919776,-117.47028566015048
2660.5,A_Exp1_to_Exp2,V50_norm,500,Zero_Delta,9.364485707308685,25.108014261573786
3910.5,A_Exp1_to_Exp2,V50_norm,500,Zero_Delta,-2.565622489778084,84.64331979606494
5160.5,A_Exp1_to_Exp2,V50_norm,500,Zero_Delta,5.069751482058458,199.65983965119216
6410.5,A_Exp1_to_Exp2,V50_norm,500,Zero_Delta,3.9146371350612585,324.2521467089084
7660.5,A_Exp1_to_Exp2,V50_norm,500,Zero_Delta,3.8507401778649326,411.0440958724471
8910.5,A_Exp1_to_Exp2,V50_norm,500,Zero_Delta,-0.3917327799754033,583.4486298702992
10160.5,A_Exp1_to_Exp2,V50_norm,500,Zero_Delta,7.203312398460872,629.8296277471219
11410.5,A_Exp1_to_Exp2,V50_norm,500,Zero_Delta,4.576869694062959,625.8341649471164
12660.5,A_Exp1_to_Exp2,V50_norm,500,Zero_Delta,2.9758241947927457,742.9543356560464
13910.5,A_Exp1_to_Exp2,V50_norm,500,Zero_Delta,-0.6022827248079817,757.8214057603938
14060.5,A_Exp1_to_Exp2,V50_norm,500,Zero_Delta,1.1314811174616957,759.9794931389582
2660.5,A_Exp1_to_Exp2,V50_norm,500,Local_Linear,9.31340730707798,24.90926853238817
3910.5,A_Exp1_to_Exp2,V50_norm,500,Local_Linear,-2.6200425072283853,84.74474199987847
5160.5,A_Exp1_to_Exp2,V50_norm,500,Local_Linear,5.01198984738856,199.24474876019613
6410.5,A_Exp1_to_Exp2,V50_norm,500,Local_Linear,3.969057152511559,324.1982721123189
7660.5,A_Exp1_to_Exp2,V50_norm,500,Local_Linear,3.93157181823989,411.07170466737625
8910.5,A_Exp1_to_Exp2,V50_norm,500,Local_Linear,-0.3449366135583754,583.4213780694781
10160.5,A_Exp1_to_Exp2,V50_norm,500,Local_Linear,7.156516232043844,629.7190819587685
11410.5,A_Exp1_to_Exp2,V50_norm,500,Local_Linear,4.530073527645931,625.236751065334
12660.5,A_Exp1_to_Exp2,V50_norm,500,Local_Linear,2.4016345426012977,742.0000534413081
13910.5,A_Exp1_to_Exp2,V50_norm,500,Local_Linear,0.1104831401052753,753.943297176447
14060.5,A_Exp1_to_Exp2,V50_norm,500,Local_Linear,0.1532986436348349,753.4964815985691
2660.5,A_Exp1_to_Exp2,V50_norm,500,Kalman_Trend,10.1380698841403,-36.1034576752047
3910.5,A_Exp1_to_Exp2,V50_norm,500,Kalman_Trend,-4.412698858720696,-68.33243584922761
5160.5,A_Exp1_to_Exp2,V50_norm,500,Kalman_Trend,4.333148539944196,-6.2445152561232025
6410.5,A_Exp1_to_Exp2,V50_norm,500,Kalman_Trend,3.195617823064332,96.0427430153911
7660.5,A_Exp1_to_Exp2,V50_norm,500,Kalman_Trend,-2.0334934720156097,118.00946860527034
8910.5,A_Exp1_to_Exp2,V50_norm,500,Kalman_Trend,-2.905785269104486,199.7748764845961
10160.5,A_Exp1_to_Exp2,V50_norm,500,Kalman_Trend,2.0500674476676157,194.0800132345393
11410.5,A_Exp1_to_Exp2,V50_norm,500,Kalman_Trend,-2.8832275406040573,-7.49946472301846
12660.5,A_Exp1_to_Exp2,V50_norm,500,Kalman_Trend,0.959137158751564,-3.2752527492855394
13910.5,A_Exp1_to_Exp2,V50_norm,500,Kalman_Trend,-0.2267781071938436,-18.982178400964795
14060.5,A_Exp1_to_Exp2,V50_norm,500,Kalman_Trend,-0.3275013463738494,-22.289212563449297
2660.5,A_Exp1_to_Exp2,V50_norm,500,Frozen_Ridge,0.0,0.0
3910.5,A_Exp1_to_Exp2,V50_norm,500,Frozen_Ridge,0.0,0.0
5160.5,A_Exp1_to_Exp2,V50_norm,500,Frozen_Ridge,0.0,0.0
6410.5,A_Exp1_to_Exp2,V50_norm,500,Frozen_Ridge,0.0,0.0
7660.5,A_Exp1_to_Exp2,V50_norm,500,Frozen_Ridge,0.0,0.0
8910.5,A_Exp1_to_Exp2,V50_norm,500,Frozen_Ridge,0.0,0.0
10160.5,A_Exp1_to_Exp2,V50_norm,500,Frozen_Ridge,0.0,0.0
11410.5,A_Exp1_to_Exp2,V50_norm,500,Frozen_Ridge,0.0,0.0
12660.5,A_Exp1_to_Exp2,V50_norm,500,Frozen_Ridge,-0.0917972866408911,-5.592092871776663
13910.5,A_Exp1_to_Exp2,V50_norm,500,Frozen_Ridge,-6.724458553888816,-38.80533945229378
14060.5,A_Exp1_to_Exp2,V50_norm,500,Frozen_Ridge,-3.337435960902366,-53.91155159939155
3160.5,A_Exp1_to_Exp2,V50_norm,1000,Zero_Delta,-4.721995130396042,0.1197947650543813
4410.5,A_Exp1_to_Exp2,V50_norm,1000,Zero_Delta,-3.0853270174457315,31.585570035345658
5660.5,A_Exp1_to_Exp2,V50_norm,1000,Zero_Delta,2.709175614458391,78.05303941712651
6910.5,A_Exp1_to_Exp2,V50_norm,1000,Zero_Delta,3.8057599676627336,141.33363968936325
8160.5,A_Exp1_to_Exp2,V50_norm,1000,Zero_Delta,-0.2226514676842965,172.92895052253098
9410.5,A_Exp1_to_Exp2,V50_norm,1000,Zero_Delta,0.0370134629761453,232.5136382045812
10660.5,A_Exp1_to_Exp2,V50_norm,1000,Zero_Delta,-3.394274641771608,249.68696531255048
11910.5,A_Exp1_to_Exp2,V50_norm,1000,Zero_Delta,2.090404039790932,235.3126253706428
13160.5,A_Exp1_to_Exp2,V50_norm,1000,Zero_Delta,-1.1102200769633268,313.87626831162345
14060.5,A_Exp1_to_Exp2,V50_norm,1000,Zero_Delta,-0.2482803737395671,319.7857635715466
3160.5,A_Exp1_to_Exp2,V50_norm,1000,Local_Linear,-4.619838329934634,-0.073383092394021
4410.5,A_Exp1_to_Exp2,V50_norm,1000,Local_Linear,-3.194167052346333,30.92953756842974
5660.5,A_Exp1_to_Exp2,V50_norm,1000,Local_Linear,2.593652345118595,77.03277570733302
6910.5,A_Exp1_to_Exp2,V50_norm,1000,Local_Linear,3.696919932762132,140.3573389235095
8160.5,A_Exp1_to_Exp2,V50_norm,1000,Local_Linear,-0.0609881869343813,172.19359608011789
9410.5,A_Exp1_to_Exp2,V50_norm,1000,Local_Linear,0.1306057958102009,233.01257901961412
10660.5,A_Exp1_to_Exp2,V50_norm,1000,Local_Linear,-3.3006823089375525,250.06566707192232
11910.5,A_Exp1_to_Exp2,V50_norm,1000,Local_Linear,1.9968117069568765,233.90055655307128
13160.5,A_Exp1_to_Exp2,V50_norm,1000,Local_Linear,-2.258599381346223,309.9757215008784
14060.5,A_Exp1_to_Exp2,V50_norm,1000,Local_Linear,0.4857030346789321,308.0737118756848
3160.5,A_Exp1_to_Exp2,V50_norm,1000,Kalman_Trend,-6.26916348405927,-117.09792059343474
4410.5,A_Exp1_to_Exp2,V50_norm,1000,Kalman_Trend,-6.779479755330955,-276.97396249902545
5660.5,A_Exp1_to_Exp2,V50_norm,1000,Kalman_Trend,1.2359697302298671,-340.96841749680146
6910.5,A_Exp1_to_Exp2,V50_norm,1000,Kalman_Trend,3.1986963372366666,-321.60662704752275
8160.5,A_Exp1_to_Exp2,V50_norm,1000,Kalman_Trend,-11.991118767445382,-431.6781061608876
9410.5,A_Exp1_to_Exp2,V50_norm,1000,Kalman_Trend,-4.9910915152820206,-553.3611162720864
10660.5,A_Exp1_to_Exp2,V50_norm,1000,Kalman_Trend,0.3164206704621608,-618.9782068479167
11910.5,A_Exp1_to_Exp2,V50_norm,1000,Kalman_Trend,-12.8297904295431,-1009.72756346575
13160.5,A_Exp1_to_Exp2,V50_norm,1000,Kalman_Trend,-5.14359414904569,-1158.490405040593
14060.5,A_Exp1_to_Exp2,V50_norm,1000,Kalman_Trend,-3.133465223708288,-1200.8466661467912
3160.5,A_Exp1_to_Exp2,V50_norm,1000,Frozen_Ridge,0.0,0.0
4410.5,A_Exp1_to_Exp2,V50_norm,1000,Frozen_Ridge,0.0,0.0
5660.5,A_Exp1_to_Exp2,V50_norm,1000,Frozen_Ridge,0.0,0.0
6910.5,A_Exp1_to_Exp2,V50_norm,1000,Frozen_Ridge,0.0,0.0
8160.5,A_Exp1_to_Exp2,V50_norm,1000,Frozen_Ridge,0.0,0.0
9410.5,A_Exp1_to_Exp2,V50_norm,1000,Frozen_Ridge,0.0,0.0
10660.5,A_Exp1_to_Exp2,V50_norm,1000,Frozen_Ridge,0.0,0.0
11910.5,A_Exp1_to_Exp2,V50_norm,1000,Frozen_Ridge,0.0,0.0
13160.5,A_Exp1_to_Exp2,V50_norm,1000,Frozen_Ridge,-0.1194780837672842,0.2104004303644251
14060.5,A_Exp1_to_Exp2,V50_norm,1000,Frozen_Ridge,-0.3954481164867631,-4.082873304862261
2260.5,B_Exp2_to_Exp1,D_state,100,Zero_Delta,2.763492517709702,140.9932414810486
3510.5,B_Exp2_to_Exp1,D_state,100,Zero_Delta,2.430336636890692,201.71246282595604
4760.5,B_Exp2_to_Exp1,D_state,100,Zero_Delta,4.111756418302138,281.7404880419426
6010.5,B_Exp2_to_Exp1,D_state,100,Zero_Delta,2.027007207884159,337.9736172689753
7260.5,B_Exp2_to_Exp1,D_state,100,Zero_Delta,1.7336533113202903,391.3882756074624
8510.5,B_Exp2_to_Exp1,D_state,100,Zero_Delta,0.1735790638030024,409.2201537102481
9760.5,B_Exp2_to_Exp1,D_state,100,Zero_Delta,1.9028385456096637,457.87131081536273
11010.5,B_Exp2_to_Exp1,D_state,100,Zero_Delta,0.2339722423339987,489.6881654960573
12260.5,B_Exp2_to_Exp1,D_state,100,Zero_Delta,-0.8151269121796147,499.59188468826807
13510.5,B_Exp2_to_Exp1,D_state,100,Zero_Delta,0.0600635973210529,509.0931046451237
14760.5,B_Exp2_to_Exp1,D_state,100,Zero_Delta,0.2062061716578789,511.2359148123098
