due_observation_cycle,protocol_id,output_name,horizon_cycles,model,rolling_count,rolling_MAE,rolling_RMSE,rolling_direction_accuracy
8510.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,150,2.228541365798727,3.310788653139193,0.2933333333333333
9760.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,175,2.21756030640063,3.2307613035086797,0.2971428571428571
11010.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,200,2.851699724456073,4.251561677751504,0.295
12260.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,225,2.917953755300907,4.278312263789012,0.2977777777777777
13510.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,250,2.724967035744097,4.083109346418557,0.32
14060.5,A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,261,2.628421102062437,3.997540086942816,0.318007662835249
2260.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,25,2.927266796830514,3.43323014988722,0.64
3510.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,50,4.00734152170948,4.833382766224379,0.58
4760.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,75,4.156141696379581,4.932601040197371,0.5466666666666666
6010.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,100,4.276478496159765,4.998102943059048,0.54
7260.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,125,4.486637547680551,5.151454052693832,0.56
8510.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,150,4.784322589970018,5.599113546138886,0.5533333333333333
9760.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,175,4.725914540881547,5.567287713590651,0.5657142857142857
11010.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,200,4.797034253784402,5.657123461032101,0.585
12260.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,225,4.9422584390748,5.973905691061782,0.5777777777777777
13510.5,A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,250,4.744080965147298,5.777198935226562,0.568
