direction,source_dataset,target_dataset,entry_cycle,prefix_fraction,adapter,source_model_frozen_hash,update_index,pair_earlier_cycle,pair_later_cycle,adapter_parameter_norm,adapter_step_norm,objective_loss,l2,numeric_abort
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,125,130.5,1135.5,0.9896111702160745,0.004066635774064336,0.02897175192455656,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,150,635.5,1260.5,1.100195803568898,0.04416818898841387,0.49631478866252077,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,175,395.5,1385.5,1.1745647721915609,0.003320931181700616,0.026466523405336118,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,200,310.5,1510.5,1.2338707154203974,0.0036608651123986795,0.028885438257856222,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,225,310.5,1635.5,1.188384718275067,0.003575601393838662,0.02663979869347828,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,250,725.5,1760.5,1.1239918701683898,0.003268338775293513,0.024220019313724275,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,275,275.5,1885.5,1.3656958069670788,0.005804431684940811,0.04439241534337837,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,300,715.5,2010.5,1.4013945308224773,0.004723018446292271,0.054889397912169964,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,325,695.5,2135.5,1.473815870514866,0.04461600612321452,1.0212480903992909,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,350,1355.5,2260.5,1.235782231200901,0.10852161129018317,0.8303584724868484,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,375,395.5,2385.5,1.235766166896119,0.0028244125713663545,0.0355346701776613,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,400,1855.5,2510.5,1.2381115058159864,0.0030865130194322747,0.031437606665697816,0.0375,0
