direction,source_dataset,target_dataset,entry_cycle,prefix_fraction,model,future_window_count,adapter_aborted,adapter_abort_reason,adapter_parameter_norm,source_model_frozen_hash,future_time_pair_auc,future_score_total_variation,future_score_saturation_ratio,future_score_reversal_count,prior_adapted_disagreement,future_target_local_spearman,future_ood_ratio_mean,future_ood_fraction,common_future_window_count,common_future_prefix_score_std
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.4,Unbounded_WeakL2,1332,0,COMPLETED,0.8733681378271779,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.5525,7.495216098552532,0.7957957957957958,484,0.0737820006441268,0.49178077206571935,2.392957917002694,0.990990990990991,222,0.5528571646288286
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.4,Source_Static,1332,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.51875,7.361620828328837,0.12237237237237238,430,0.0,0.5319183472234131,2.392957917002694,0.990990990990991,222,0.0
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.4,Target_Local,1332,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.2925,13.18584700669112,0.023273273273273273,402,0.3790743005540797,0.9999999999999999,2.392957917002694,0.990990990990991,222,0.3799445524662268
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.4,Elapsed_Time_Since_Entry,1332,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,1.0,0.6000631170821875,0.017267267267267267,0,0.2666556060063269,-0.5780974707400528,2.392957917002694,0.990990990990991,222,0.0
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.6,Bounded_Baseline,888,0,COMPLETED,0.48793014699777554,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.565989847715736,3.7266859786782325,0.661036036036036,304,0.07203849774192923,0.7756272079080094,2.3326672582984744,0.9864864864864865,222,0.49508068712357123
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.6,Unbounded_L2,888,0,COMPLETED,0.7748226042795592,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.5951776649746193,2.4922012890475598,0.6858108108108109,318,0.11097657244552725,0.68991713111945,2.3326672582984744,0.9864864864864865,222,0.5657440012384152
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.6,Unbounded_WeakL2,888,0,COMPLETED,1.4361111441631145,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.6243654822335025,0.36036675089983305,0.9222972972972973,268,0.16087347255487253,0.4030306013235289,2.3326672582984744,0.9864864864864865,222,0.5528571646288286
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.6,Source_Static,888,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.49746192893401014,6.114159191529396,0.10585585585585586,318,0.0,0.8331914648881511,2.3326672582984744,0.9864864864864865,222,0.0
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.6,Target_Local,888,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.5190355329949239,7.770766319123176,0.0,337,0.14410155335511557,1.0,2.3326672582984744,0.9864864864864865,222,0.3799445524662268
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.6,Elapsed_Time_Since_Entry,888,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,1.0,0.3998917992876786,0.0259009009009009,0,0.1769574440900697,-0.010846192521129715,2.3326672582984744,0.9864864864864865,222,0.0
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.8,Bounded_Baseline,444,0,COMPLETED,0.5010013640066076,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.22965116279069767,4.247391936486459,0.0,169,0.35427847091354686,0.8920335152409617,2.529618309801993,1.0,222,0.49508068712357123
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.8,Unbounded_L2,444,0,COMPLETED,0.8100886975799854,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.20930232558139536,4.22523741797451,0.02702702702702703,167,0.6129569114559744,0.9151777592389353,2.529618309801993,1.0,222,0.5657440012384152
