row_type,dataset,feature,window_fraction,window_ordinal,window_start_cycle,window_end_cycle,window_count,local_spearman,local_spearman_pvalue,local_kendall,local_kendall_pvalue,robust_local_slope,slope_sign,bootstrap_sign_stability,positive_significant_fraction,negative_significant_fraction,positive_longest_span_fraction,negative_longest_span_fraction,mean_bootstrap_sign_stability,PERSISTENT_DIRECTION_REVERSAL,passed
window,Exp1,rx_mean,0.3,19.0,21670.5,35335.5,2734.0,0.6663153820235872,0.0,0.3382669376508795,6.717586611257229e-155,5.043389098627642e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,20.0,22810.5,36475.5,2734.0,0.5765350811651331,5.227655044825206e-242,0.28370928244054955,1.4899968221983906e-109,4.971753171012515e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,21.0,23950.5,37615.5,2734.0,0.4109452798514827,6.801364262908212e-112,0.20084121807992533,7.769368819997464e-56,4.145659187189634e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,22.0,25090.5,38755.5,2734.0,0.15839609762158036,8.014953194492737e-17,0.042644146390361265,0.0008302594301168823,2.4663177257436867e-06,1.0,0.9333333333333333,,,,,,,
window,Exp1,rx_mean,0.3,23.0,26230.5,39895.5,2734.0,-0.18198117276799064,8.70570264438739e-22,-0.18084555960889837,1.3100226711257999e-45,-2.5315657486342467e-06,-1.0,0.5333333333333333,,,,,,,
window,Exp1,rx_mean,0.3,24.0,27370.5,41035.5,2734.0,-0.5968855753690037,1.243372043266943e-263,-0.43239514016420183,8.826907813709642e-252,-2.7546653375411003e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,25.0,28510.5,42175.5,2734.0,-0.6523161822974112,0.0,-0.43191762551020324,3.139704940585094e-251,-2.663818057420853e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,26.0,29650.5,43315.5,2734.0,-0.3680608054729777,1.816180778544654e-88,-0.25574469668317357,2.2047009592324734e-89,-2.337401827529219e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,27.0,30790.5,44455.5,2734.0,-0.21829696490647946,7.506018968195424e-31,-0.16590449010990596,1.1639081959259638e-38,-7.706393947949278e-07,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.3,28.0,31915.5,45580.5,2734.0,-0.1291631039001933,1.2104236420626464e-11,-0.11692176495197684,4.978507400832925e-20,-1.0529249356854671e-07,-1.0,0.5666666666666667,,,,,,,
summary,Exp1,rx_mean,0.3,,,,,,,,,,,,0.4482758620689655,0.5517241379310345,0.4749835418038183,0.5250164581961817,0.9298850574712643,PASS,1.0
window,Exp1,rx_absmean,0.1,0.0,10.5,4565.5,912.0,-0.9919458294208667,0.0,-0.9402093323319276,0.0,-1.0995223260431788e-05,-1.0,1.0,,,,,,,
window,Exp1,rx_absmean,0.1,1.0,1150.5,5705.5,912.0,-0.9791405233537154,0.0,-0.8878040325842048,0.0,-3.1089873613664718e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_absmean,0.1,2.0,2290.5,6845.5,912.0,-0.962670702874629,0.0,-0.8409786816107228,0.0,-1.919472097948667e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_absmean,0.1,3.0,3430.5,7985.5,912.0,-0.461871303616875,2.202412544848404e-49,-0.5091281992027269,3.0201486908799397e-117,-1.2897224465055385e-06,-1.0,0.43333333333333335,,,,,,,
window,Exp1,rx_absmean,0.1,4.0,4570.5,9125.5,912.0,0.3938286193793287,3.3160634495871913e-35,0.07936141121189362,0.00033308751249671616,6.9732552227162275e-06,1.0,1.0,,,,,,,
window,Exp1,rx_absmean,0.1,5.0,5710.5,10265.5,912.0,0.4827287711658402,2.050976365638219e-54,0.12281664644597223,2.8110467121083222e-08,5.761114374333916e-06,1.0,1.0,,,,,,,
window,Exp1,rx_absmean,0.1,6.0,6850.5,11405.5,912.0,0.14493802077147183,1.111548599627476e-05,0.0345340574267722,0.1184383512780618,1.531585205675912e-06,1.0,0.9666666666666667,,,,,,,
window,Exp1,rx_absmean,0.1,7.0,7990.5,12545.5,912.0,-0.2657630295339837,3.292975158003986e-16,-0.2452048067479346,1.4627917124300567e-28,-8.181955874338368e-07,-1.0,0.8333333333333334,,,,,,,
window,Exp1,rx_absmean,0.1,8.0,9130.5,13685.5,912.0,0.12931798517975915,8.987464780086746e-05,-0.06418626148246577,0.003707831248856392,1.4661014651865655e-07,1.0,0.8666666666666667,,,,,,,
window,Exp1,rx_absmean,0.1,9.0,10270.5,14825.5,912.0,-0.2621428418203826,8.49762212014271e-16,-0.34599052516032125,3.7080180998701376e-55,-1.3781324775935814e-06,-1.0,0.5,,,,,,,
window,Exp1,rx_absmean,0.1,10.0,11410.5,15965.5,912.0,-0.18498126034250076,1.83070641847186e-08,-0.2615402391819285,2.905257529614795e-32,-6.0931554836608e-07,-1.0,0.36666666666666664,,,,,,,
window,Exp1,rx_absmean,0.1,11.0,12550.5,17105.5,912.0,-0.5993367637536315,5.024785999380236e-90,-0.4800248425674505,1.9221417534052858e-104,-2.5487481436485046e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_absmean,0.1,12.0,13690.5,18245.5,912.0,-0.9068912797393069,0.0,-0.7912309588460723,2.8712111030558166e-280,-6.496295800081067e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_absmean,0.1,13.0,14830.5,19385.5,912.0,-0.8098888814149764,4.939300818008397e-213,-0.6588287403470257,5.7360748852872835e-195,-5.1358821037076005e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_absmean,0.1,14.0,15970.5,20525.5,912.0,-0.4104167076659623,2.2797827206557852e-38,-0.29772565332100837,2.658644648575722e-41,-7.853952174118338e-07,-1.0,0.9666666666666667,,,,,,,
window,Exp1,rx_absmean,0.1,15.0,17110.5,21665.5,912.0,0.3694292081745645,7.181580055448199e-31,0.21156623721763246,1.1178656325462448e-21,1.6138568722381284e-06,1.0,0.9333333333333333,,,,,,,
window,Exp1,rx_absmean,0.1,16.0,18250.5,22805.5,912.0,0.6086912948882172,1.5085448308783016e-93,0.3019527413484314,1.9652238609973508e-42,3.974543981352798e-06,1.0,1.0,,,,,,,
window,Exp1,rx_absmean,0.1,17.0,19390.5,23945.5,912.0,0.22612365016344557,4.877363825239223e-12,-0.010832514876653763,0.6243021476102848,1.5330091282858595e-06,1.0,0.8666666666666667,,,,,,,
window,Exp1,rx_absmean,0.1,18.0,20530.5,25085.5,912.0,-0.6543218182843296,1.4918310039151786e-112,-0.6373081441254068,1.4271001596784861e-182,-1.1034643991037939e-05,-1.0,0.9666666666666667,,,,,,,
window,Exp1,rx_absmean,0.1,19.0,21670.5,26225.5,912.0,-0.9938239082834098,0.0,-0.9432857665568972,0.0,-1.0432639036716294e-05,-1.0,1.0,,,,,,,
window,Exp1,rx_absmean,0.1,20.0,22810.5,27365.5,912.0,-0.9864513121050739,0.0,-0.9188909430546729,0.0,-7.296915061261659e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_absmean,0.1,21.0,23950.5,28505.5,912.0,-0.22014835744113007,1.7943116368754006e-11,-0.39490053344117704,2.674367658132245e-71,-1.9513163030787336e-06,-1.0,0.03333333333333333,,,,,,,
window,Exp1,rx_absmean,0.1,22.0,25090.5,29645.5,912.0,0.4825571119925265,2.26360324059327e-54,0.12882026691316656,5.736873189779829e-09,1.881382028129822e-05,1.0,1.0,,,,,,,
window,Exp1,rx_absmean,0.1,23.0,26230.5,30785.5,912.0,0.44446189001827924,1.9214415836014013e-45,0.1306930883740636,3.443430171825437e-09,1.824616907011493e-05,1.0,1.0,,,,,,,
