protocol_id,dataset,window_id,window_index,start_cycle,end_cycle,center_cycle,effective_configuration_count,directed_configuration_support,rate_divergence_configuration_support,abrupt_configuration_support,combined_change_score_q50,change_configuration_support,guard_configuration_fraction,stop_boundary_configuration_fraction,change_trigger
A_Exp1_to_Exp2,Exp2,2598,2598,12991.0,13010.0,13000.5,24,0.08333333333333333,0.2916666666666667,0.0,4.023181722402088,0.375,1.0,1.0,0
A_Exp1_to_Exp2,Exp2,2599,2599,12996.0,13015.0,13005.5,24,0.08333333333333333,0.3333333333333333,0.0,4.081315410417314,0.4166666666666667,1.0,1.0,0
A_Exp1_to_Exp2,Exp2,2600,2600,13001.0,13020.0,13010.5,24,0.08333333333333333,0.25,0.0,3.281318144752354,0.3333333333333333,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,2601,2601,13006.0,13025.0,13015.5,24,0.08333333333333333,0.375,0.0,4.586982323381081,0.4583333333333333,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,2602,2602,13011.0,13030.0,13020.5,24,0.08333333333333333,0.375,0.0,4.557909413782619,0.4583333333333333,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,2603,2603,13016.0,13035.0,13025.5,24,0.08333333333333333,0.4166666666666667,0.0,4.558460040673855,0.5,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,2604,2604,13021.0,13040.0,13030.5,24,0.08333333333333333,0.5416666666666666,0.0,5.257854463416515,0.625,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,2605,2605,13026.0,13045.0,13035.5,24,0.08333333333333333,0.25,0.0,3.896600417501914,0.3333333333333333,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,2606,2606,13031.0,13050.0,13040.5,24,0.08333333333333333,0.20833333333333334,0.0,3.0399480606943796,0.2916666666666667,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,2607,2607,13036.0,13055.0,13045.5,24,0.08333333333333333,0.20833333333333334,0.0,2.3479332755751914,0.2916666666666667,1.0,0.0,0
A_Exp1_to_Exp2,Exp2,2608,2608,13041.0,13060.0,13050.5,24,0.0,0.16666666666666666,0.0,1.6127473180033511,0.16666666666666666,1.0,0.0,0
