dataset,window_id,window_index,start_cycle_effective,end_cycle_effective,center_cycle_effective,start_cycle_actual,end_cycle_actual,center_cycle_actual,cycle_effective,cycle_actual,effective_configuration_count,D_state_q25,D_state_q50,D_state_q75,D_state_mad,V500_norm_q25,V500_norm_q50,V500_norm_q75,V500_norm_mad,V1000_norm_q25,V1000_norm_q50,V1000_norm_q75,V1000_norm_mad,multi_scale_rate_divergence_q25,multi_scale_rate_divergence_q50,multi_scale_rate_divergence_q75,multi_scale_rate_divergence_mad,state_volatility_q25,state_volatility_q50,state_volatility_q75,state_volatility_mad
Exp1,7723,7723,38616.0,38635.0,38625.5,44750.50045495905,44772.975432211104,44761.737943585074,38625.5,44761.737943585074,24,6.264615463062556,8.139605233458965,8.744687975614855,0.9964112154510669,0.07783567924060128,0.11662109781547446,0.1418971286221531,0.03203083386079755,0.08144170941318443,0.11901045671462902,0.14712619449824654,0.03517260561829626,0.08579966486292465,0.12285533622942549,0.14881810608973486,0.03191451684300171,0.23180971969722997,0.3743175438828198,0.45212465239538946,0.11274513293084076
Exp1,7724,7724,38621.0,38640.0,38630.5,44756.41492265696,44778.88989990901,44767.65241128299,38630.5,44767.65241128299,24,6.238360684030847,8.127219766150066,8.725935491501971,1.0160081547837398,0.07241419140912826,0.10777022833835852,0.13053403131285657,0.027194096868945097,0.09968934043405485,0.13695799091159688,0.17488824877621448,0.037568562081049986,0.10101965901264207,0.13170414336732983,0.14927176099367614,0.025842375385834074,0.230410866260612,0.3716345933150458,0.4491975309341739,0.11158754394708048
Exp1,7725,7725,38626.0,38645.0,38635.5,44762.32939035487,44784.804367606914,44773.56687898089,38635.5,44773.56687898089,24,6.33346392237197,8.172083810463832,8.820749070415172,0.9422637723496088,0.07729326252837768,0.11529500016123062,0.14004788996204964,0.02995028950387421,0.09214119958494728,0.13321407349729708,0.16408347132060883,0.03840592087085101,0.1705878811739472,0.21872950028743526,0.27413469995495565,0.055739271242244426,0.22967700144298886,0.3699812976222071,0.44754569639610076,0.11068864987798155
Exp1,7726,7726,38631.0,38650.0,38640.5,44768.243858052774,44790.718835304826,44779.4813466788,38640.5,44779.4813466788,24,6.270430360320224,8.142333093935639,8.762635978241512,0.9906552364104284,0.08510317074209431,0.12859089613104435,0.1559318759631389,0.03484486450069442,0.07943859867257191,0.1168836085915364,0.1445100541871213,0.033544984363005736,0.23622960025017153,0.41009280852046115,0.48527901598345713,0.13497241939523896,0.22804627790700643,0.36665361281999564,0.44404446993681784,0.10910994438753432
Exp1,7727,7727,38636.0,38655.0,38645.5,44774.158325750686,44796.63330300273,44785.39581437671,38645.5,44785.39581437671,24,6.250156470319377,8.132751826203432,8.739760767796685,1.007033100853067,0.0955010640249623,0.14896548275897237,0.17775895874924053,0.04229554094553763,0.08975356452748899,0.12418183788166595,0.15709004652062702,0.034492012103953355,0.2294315884244686,0.407573820989402,0.4796160177638447,0.12820745050004007,0.2261064687963769,0.362957678771127,0.4400012179079309,0.10746078608072596
Exp1,7728,7728,38641.0,38660.0,38650.5,44780.07279344859,44802.547770700636,44791.31028207461,38650.5,44791.31028207461,24,6.329392894399915,8.170099730662582,8.812708201821703,0.9460469177566977,0.08900186329494861,0.1371925259378684,0.16469458964137146,0.03836661866948203,0.06975445175713017,0.10183640543620323,0.1263356653292436,0.029951110507371828,0.09599736960255373,0.15510737018172355,0.18839253538193673,0.044839680784760805,0.2231851208003908,0.35756905089607666,0.43395974607664234,0.1051261944213111
Exp1,7729,7729,38646.0,38665.0,38655.5,44785.987261146496,44808.46223839854,44797.22474977252,38655.5,44797.22474977252,24,6.455154941385596,8.22734366198438,8.93151830012765,0.8751024795019893,0.04473449009185498,0.06143151098618267,0.07174615220153607,0.012047735945541479,0.06661284019462103,0.08969484505787786,0.11280050364460081,0.023432023235247602,0.03962143024775497,0.05257929871699541,0.06281824618471371,0.012067504004301226,0.2202380439228687,0.3520686302581555,0.4277898644718655,0.10270967359967037
Exp1,7730,7730,38651.0,38670.0,38660.5,44791.9017288444,44814.37670609645,44803.13921747043,38660.5,44803.13921747043,24,6.291499408216066,8.152774578684086,8.779966919783991,0.9756138880493115,0.05626383384418854,0.06841723913361836,0.0807343207097021,0.012374872880101768,0.09127160590985453,0.12955810483301955,0.15870256392966553,0.034409273115547326,0.030247069290200785,0.035881442213640716,0.06349683352070173,0.010248613239231551,0.21929609112519186,0.3504263679701468,0.425827582954048,0.10195019455155346
Exp1,7731,7731,38656.0,38675.0,38665.5,44797.81619654231,44820.29117379436,44809.053685168336,38665.5,44809.053685168336,24,6.193877862922462,8.102572741913495,8.635113215081681,1.0502156052722467,0.050951054115052116,0.06483057836705289,0.0771592727015588,0.012724992455087007,0.09307277343603379,0.13390737295337313,0.16386807242323265,0.03586651538282399,0.11363783028089497,0.144196961096358,0.2209915451867774,0.04629091425265654,0.21881733048892926,0.3497213159152629,0.42487073284224447,0.10141014989816333
Exp1,7732,7732,38661.0,38680.0,38670.5,44803.73066424022,44826.20564149226,44814.96815286624,38670.5,44814.96815286624,24,6.087385860863112,8.053141305242917,8.537623236501702,1.1332524956475294,0.05861502848743083,0.0774435176981467,0.09335151621696541,0.017468394835695046,0.1047699833181078,0.1518423556228249,0.18625920187827225,0.04166475651726139,0.09160198659170236,0.10568365051841325,0.1867703286615085,0.03158439532015889,0.2186621057637903,0.34972592089844257,0.42468816166183254,0.10155018318059073
